update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
435,5860.685144762062,53.476525889224895,0.8397104446742503,0.15847983453981385,0.0,0,7.3384566337904555,0.8494622766852216,0.6972325005575115,3868,17,22.474261658270176,3.9869278275369946,0.42929683721829964,1.5599352325051865,0.3490729373248969,51.536498,2,2,1.0,18,43,0.4186046511627907,150,323,0.46439628482972134,8707,20310,0.42870507139340225
436,9176.679175664674,79.80845828630514,0.8687566418703507,0.12964930924548354,0.00017711654268508679,0,9.648804272668466,0.8473985075251886,0.7397978138340613,5646,24,22.95969785571905,3.99170185115702,0.41043083900226757,1.5887474541751527,0.3638758231420508,77.736554,5,6,0.8333333333333334,2,2,1.0,87,182,0.47802197802197804,8232,20096,0.4096337579617834
437,11282.701157956822,86.98060306765245,0.9695275874504147,0.0288496213487198,0.00018031013342949875,0,11.282289049118486,0.844027300113546,0.9319456017321571,5546,20,19.99112756640963,3.8755434668753486,0.4169559861126666,1.5943642767867288,0.3699770682660081,85.545382,185,245,0.7551020408163265,424,875,0.4845714285714286,835,1934,0.4317476732161324,6002,14804,0.40543096460416106
438,10225.010619670998,94.93088363896898,0.8259429887705154,0.17218543046357615,0.0,0,10.436319474193825,0.8418697426971836,0.6968196546871699,6946,32,21.74535014302418,3.9998165362035225,0.3997211710814579,1.6089986676232448,0.37231615463949747,90.866686,0,0,nan,0,0,nan,0,0,nan,8028,20084,0.3997211710814579
439,8733.463249852392,86.25738508050033,0.7947772657450077,0.2032258064516129,0.00015360983102918587,0,10.918584881455299,0.8407609060147809,0.6359667329079745,6510,30,23.269400028354426,3.999800877741606,0.4291388162355904,1.5705725363814895,0.3547721732608288,82.650114,0,0,nan,2,2,1.0,0,0,nan,8858,20644,0.4290835109474908
440,8562.063039300563,68.61268156442549,0.9366071428571429,0.06138392857142857,0.0006696428571428571,0,9.432485971622416,0.8466671895292183,0.8774649120694029,4480,17,21.79137415567997,3.9212796187264076,0.4061843763124737,1.5960030084882346,0.3687908009411141,66.65817,74,90,0.8222222222222222,237,483,0.4906832298136646,729,1549,0.47062621045836023,6697,16926,0.3956634763086376
441,10316.994033989089,95.2557481484882,0.8293525179856115,0.16892086330935252,0.0,0,13.188524514693373,0.8384291587664495,0.6942554437386788,6950,31,22.13242381508365,4.0,0.39720529210643674,1.6061416593796616,0.36934375,90.635512,0,0,nan,0,0,nan,0,0,nan,8016,20181,0.39720529210643674
442,7294.431664254806,63.19609972514931,0.8753715984450035,0.12257031785959295,0.000457351932311914,0,10.79065294042594,0.8601765934593615,0.7626839552523469,4373,18,19.689593014984553,3.989373132633025,0.43123146482570857,1.5648931882305521,0.3532981198516003,60.564572,3,3,1.0,22,38,0.5789473684210527,110,251,0.43824701195219123,8735,20277,0.43078364649602996
443,6957.390552611079,66.4954465419596,0.8108218063466233,0.18653376729048007,0.0,0,5.836509349640026,0.8340358184820749,0.6828023064091926,4916,23,26.368715141627,3.962603641380225,0.4023247657698282,1.6008081226688768,0.3679460383811514,63.53475,0,0,nan,0,0,nan,393,852,0.4612676056338028,7637,19107,0.39969644632857065
444,9652.373772678455,88.58238521246673,0.8316598682146219,0.16582993410731095,0.00031377470975839345,0,9.341551673821801,0.8318815682557303,0.7433562093094404,6374,30,21.351520349003895,4.0,0.37758471777676167,1.644160487984435,0.38490625,83.36173,0,0,nan,0,0,nan,0,0,nan,7432,19683,0.37758471777676167
445,7547.245611142094,68.01229693072634,0.8462955382726156,0.1518624641833811,0.00020466639377814163,0,6.437695980999644,0.831829988637783,0.7306368493540425,4886,22,20.83332543098704,3.999567996621991,0.4076228982791776,1.593117100654789,0.36613951743968,65.542652,0,0,nan,0,0,nan,5,9,0.5555555555555556,8262,20272,0.4075572217837411
446,9414.2667614369,88.6844351974724,0.8156954156954157,0.18212898212898213,0.0001554001554001554,0,8.5868591676793,0.8422772423590719,0.737868142298632,6435,32,18.375213546350665,4.0,0.382487093378778,1.6233065144043601,0.37653125,82.240266,0,0,nan,0,0,nan,0,0,nan,7631,19951,0.382487093378778
447,8871.730191827713,78.27708087204694,0.8602659865184915,0.13791218801238841,0.0005465476407360175,0,8.650187506589756,0.8405493734572014,0.7692139832023885,5489,25,20.1339339798025,3.9997865039240934,0.4005255069158693,1.6001221622722184,0.3696168510531908,74.531744,0,0,nan,0,0,nan,2,5,0.4,8077,20166,0.4005256372111475
448,8887.34535908138,82.76352946445718,0.8230603090214321,0.17444758265492608,0.0,0,9.108878671811274,0.849281379222329,0.7157340750183828,6019,28,20.78977001967028,4.0,0.403298276798499,1.60021513087128,0.36709375,77.438206,0,0,nan,0,0,nan,0,0,nan,8168,20253,0.403298276798499
449,8464.939193648881,73.22929191929022,0.8732338308457711,0.1245771144278607,0.0005970149253731343,0,7.397302356231476,0.8310829365118939,0.8051506111875314,5025,23,22.425073925463384,3.9973304691349383,0.3924398282233097,1.6114136018080953,0.37367861387377244,69.215052,0,0,nan,1,4,0.25,16,41,0.3902439024390244,7842,19981,0.3924728492067464
450,5966.282060693836,63.31664347870195,0.7557407031091241,0.24060150375939848,0.0,0,6.511135881948618,0.8399928971631073,0.6276710390118235,4921,25,24.44327625968883,4.0,0.3806114839671887,1.615548289999481,0.37140625,59.110908,0,0,nan,0,0,nan,0,0,nan,7656,20115,0.3806114839671887
451,10122.28569381394,94.44976334959264,0.8246734397677794,0.17358490566037735,0.00029027576197387516,0,9.536446984106046,0.8458672730762982,0.6906090746735317,6890,32,21.320956236091178,4.0,0.39079598261130266,1.6157135497166408,0.37459375,90.734682,0,0,nan,0,0,nan,0,0,nan,7821,20013,0.39079598261130266
452,10287.7109892234,89.2195429248465,0.8754098360655738,0.12262295081967213,0.0001639344262295082,0,11.135865445402528,0.8440851023521965,0.7735234661803457,6100,26,18.92143323881298,3.9997794051900355,0.4001486252167451,1.6028832881754511,0.3691596087133169,85.445174,0,0,nan,0,0,nan,5,9,0.5555555555555556,8072,20176,0.40007930214115783
453,9965.17812700104,90.95601747655083,0.8311867525298988,0.16590003066544004,0.00030665440049064706,0,8.79289886172235,0.828449943315318,0.7713809653569254,6522,32,21.69856307323465,4.0,0.368292806741459,1.644262122646471,0.38440625,84.569116,0,0,nan,0,0,nan,0,0,nan,7255,19699,0.368292806741459
454,8332.427010542946,73.698268198193,0.8563727377743551,0.14073931459376204,0.0009626492106276473,0,7.05297880138539,0.8435544382706,0.7619300837236503,5194,24,22.026441888198107,3.999079230694479,0.3943030725561476,1.6075417563274925,0.37223333750156307,70.267644,1,1,1.0,2,2,1.0,6,20,0.3,7909,20058,0.3943065111177585
