update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
469,5384.79005100978,76.80184598062621,0.6575935231714126,0.3394751535455053,0.00013958682300390843,0,14.698566674954552,0.8545220761432762,0.7155033348238952,7164,24,20.0,3.1268909700744785,1.8783697728720017,6.0,19.28,0.0,0.3,0.966432286649971,1.0344328703703705,0.03382811409427202,74.537754,1811,1903,0.9516552811350499,3032,3084,0.9831387808041504,3889,3995,0.9734668335419274,11335,11782,0.9620607706671194
470,5049.181518165731,74.76042746556396,0.6492716730306888,0.34888983170697213,0.000282845424975251,0,15.29274484292407,0.8502455968789516,0.7009054033703314,7071,24,20.0,3.211577045175311,1.8843389239817034,5.0,19.44,0.0,0.3,0.9701784738663267,1.0298623142153733,0.02947284697980646,72.614044,1443,1514,0.9531043593130779,3036,3103,0.9784079922655494,4206,4308,0.9763231197771588,12624,13039,0.968172405859345
471,6568.746356897616,82.43743330082486,0.692318281938326,0.3042400881057269,0.00013766519823788548,0,16.68770219489958,0.8510664901843573,0.7457059268772165,7264,24,20.0,3.3720864579545817,2.095048717438855,6.0,18.768,0.0,0.3,0.9650511045169798,1.0338521240143665,0.03296002550715396,79.968784,993,1039,0.9557266602502407,2225,2283,0.9745948313622427,3806,3905,0.9746478873239437,16392,17037,0.9621412220461348
472,3243.075783746176,68.54371287107749,0.5853760445682451,0.4115598885793872,0.0,0,11.613416019138556,0.8562050968347223,0.6592570045144697,7180,24,20.0,3.1605364147293282,1.9766833214370687,7.0,22.362,0.0,0.3,0.9640612725844462,1.036183078511381,0.03492063492063492,65.972628,1825,1915,0.9530026109660574,3338,3395,0.9832106038291605,4169,4285,0.9729288214702451,10304,10773,0.9564652371669915
473,5954.556988190719,79.6025774088387,0.6751840022219137,0.3224552145535342,0.00013886960144424384,0,15.045235231678124,0.8582266983540763,0.7173421011189044,7201,24,20.0,3.2317385521315045,1.8515014397367338,5.0,18.385,0.0,0.3,0.9648245652847219,1.0355703211517164,0.03447539302802461,77.257866,1318,1384,0.9523121387283237,2799,2857,0.9796989849492475,3792,3899,0.972557065914337,13897,14461,0.9609985478182699
474,4617.768685079724,73.56471455144721,0.6330172894590073,0.3630786391522588,0.0,0,11.377139951763397,0.8620570230278868,0.6775305299317366,7172,24,20.0,3.0549892217531034,1.7610132158590308,4.0,20.235,0.0,0.3,0.9488132401764036,1.0535767437245758,0.05146644106034969,71.713296,1948,2041,0.9544341009309162,2922,2992,0.9766042780748663,3488,3593,0.9707765098803228,10790,11555,0.9337948939852877
475,4412.937071188755,73.21554109447719,0.6222561822728536,0.3737149208113365,0.0,0,13.050655277359285,0.847345987532894,0.674567837746599,7198,24,20.0,3.358220873643869,2.351194463049788,6.0,22.971,0.0,0.3,0.9568606644355563,1.0439475082784841,0.04210485163610774,70.69206,836,877,0.9532497149372862,2168,2225,0.9743820224719101,3868,3991,0.9691806564770734,16573,17409,0.9519788615084152
476,4168.4950866967565,72.16980743103073,0.6167223149693934,0.38021702838063437,0.0001391207568169171,0,11.006422476762822,0.8614272433197709,0.6630446047555613,7188,24,20.0,2.9989641772440496,1.8387096774193548,5.0,21.132,0.0,0.3,0.9473579063030666,1.0548637159289822,0.05221301775147929,70.00809,2012,2100,0.9580952380952381,2861,2931,0.9761173660866599,3587,3721,0.9639881752217145,10508,11270,0.9323868677905945
477,4522.1190652232135,73.58405587946328,0.6299820714384223,0.3675355123431251,0.00013791201213625708,0,8.25892142318554,0.849870012280471,0.6744489559452341,7251,24,20.0,3.000405359091003,1.8563922942206654,5.0,20.636,0.0001378929950358522,0.3,0.9573641596854964,1.0426609160376916,0.0412796697626419,72.0856,1775,1852,0.9584233261339092,2450,2513,0.9749303621169917,3577,3734,0.9579539367970006,12654,13268,0.9537232438950859
478,7003.497328748749,83.81919983463398,0.7078897078897078,0.2895167895167895,0.0,0,11.865172707402019,0.8720954621041138,0.7633733957507063,7326,24,20.0,3.3487033833135365,1.9853451600462784,6.0,18.02,0.0,0.3,0.9680593778667334,1.0329716193656093,0.031929923707261935,81.601964,1090,1132,0.9628975265017667,2298,2352,0.9770408163265306,3759,3848,0.9768711018711018,16069,16650,0.965105105105105
479,4668.147203292584,74.11426086426816,0.6335429769392034,0.362962962962963,0.0001397624039133473,0,12.500133935116898,0.8581281999993556,0.674207675214928,7155,24,20.0,2.9679515651115422,1.8118243988528568,5.0,20.271,0.0,0.3,0.950894458967656,1.0498204207285788,0.047737589691023576,72.177474,2246,2318,0.9689387402933564,2908,2976,0.9771505376344086,3434,3573,0.9610971172684019,9963,10642,0.936196203721105
480,4951.910833503845,75.67827149214747,0.6426881870043133,0.35508557117016837,0.0,0,13.916855440768432,0.8659059265628166,0.6837508304612888,7187,24,20.0,2.9771689486960113,1.707945442736523,5.0,19.121,0.0,0.3,0.9829039014173688,1.0169574115583278,0.01666746491690215,73.682416,2100,2146,0.97856477166822,3154,3184,0.9905778894472361,3850,3915,0.9833971902937421,11076,11286,0.9813928761297183
481,7423.005405125117,84.42340458189965,0.7271328671328672,0.2704895104895105,0.0,0,14.40062157331792,0.8485800895512455,0.7778486446372884,7150,24,20.0,3.3430115364885156,1.8882477399499904,5.0,16.577,0.0,0.3,0.9695024077046549,1.0302583025830259,0.02934983998652518,82.476196,1363,1405,0.9701067615658363,2523,2557,0.986703167774736,3803,3892,0.9771325796505652,14659,15197,0.9645982759755215
482,2816.9304789751804,66.92252211608708,0.5726650844618176,0.4253804271953092,0.00013960631020522128,0,14.578276761999835,0.871657588209483,0.620425433498703,7163,24,20.0,2.792151364341112,1.6928327645051195,6.0,22.21,0.0,0.3,0.9812203987223262,1.018300077169,0.018380365444912963,65.098046,2749,2841,0.9676170362548399,3438,3476,0.9890678941311852,3665,3725,0.9838926174496644,7965,8116,0.9813947757516017
483,4488.586233633833,73.37627508250424,0.6263187118267629,0.3713214880621877,0.000277623542476402,0,10.639450454059034,0.8513839715012764,0.7014606509992374,7204,24,20.0,3.344393841369519,2.2460106382978724,7.0,21.981,0.0,0.3,0.9745816296421195,1.0250717541786256,0.024828379989312286,70.409682,1037,1089,0.9522497704315886,2679,2740,0.9777372262773723,4273,4349,0.9825247183260519,15131,15545,0.9733676423287231
484,5528.9066349819095,76.7089846613433,0.6653581943081452,0.3314173559512127,0.00014019346698443852,0,14.704111177080605,0.8594501440725499,0.7157015014680881,7133,24,20.0,3.0461046502232736,1.705646860514117,5.0,18.19,0.0,0.3,0.9673125956144825,1.033132530120482,0.03222622513941667,74.696494,2288,2386,0.9589270746018441,2940,3011,0.9764197940883428,3546,3624,0.9784768211920529,10195,10589,0.9627915761639437
485,5063.4293187700805,74.5232709835786,0.6535956964892412,0.34513023782559454,0.00014156285390713478,0,14.14371198729992,0.8496882535951752,0.6793330125013618,7064,24,20.0,2.825114493636769,1.4035087719298245,3.0,17.462,0.0,0.3,0.967249637963685,1.0322292851566857,0.03186842814774872,73.048594,3071,3162,0.9712207463630613,2437,2509,0.9713033080908728,2939,3048,0.964238845144357,8919,9235,0.9657823497563617
486,4157.6804865993645,72.73263054637994,0.6160296948034094,0.38039593071212535,0.0,0,12.69930858722763,0.8466650528727417,0.6606860995024078,7274,24,20.0,2.7311802396378972,1.4878375362642267,4.0,20.142,0.0,0.3,0.9662896305789268,1.0321536228647985,0.03141022181445302,70.900374,2951,3044,0.9694480946123522,2776,2839,0.9778090877069391,3147,3261,0.9650413983440662,8468,8803,0.9619447915483358
487,6797.570866157081,82.37828113130756,0.7065868263473054,0.2920206099429049,0.0,0,13.818361479360865,0.847655494732777,0.7472368632364027,7181,24,20.0,3.0604121931717394,1.6028774142688214,4.0,16.303,0.0,0.3,0.9528552124518292,1.0472204120507294,0.04515913218006308,80.453056,2105,2213,0.9511974694984184,2788,2864,0.973463687150838,3185,3321,0.9590484793736826,10961,11583,0.9463006129672796
488,7246.33791085836,85.06892056978684,0.7159261790840739,0.2828434723171565,0.0,0,13.857833423603337,0.8436507215118703,0.7850352702522173,7315,24,20.0,3.470797399918706,2.0998663356883713,7.0,18.158,0.0,0.3,0.9569106715383646,1.0438035984530014,0.04208070161322766,82.558534,1053,1097,0.959890610756609,2285,2340,0.9764957264957265,3647,3759,0.9702048417132216,15800,16615,0.9509479386096901
489,4127.175347697287,71.91775871510397,0.614900754822477,0.38258317025440314,0.0,0,12.643954047139072,0.8534330338280867,0.6883132444401044,7154,24,20.0,3.176604462838476,1.955671743578086,6.0,21.049,0.0,0.3,0.964459109120905,1.035306334371755,0.03418920149321679,68.899216,1623,1705,0.9519061583577713,3112,3180,0.9786163522012579,4160,4281,0.9717355758000468,11566,12049,0.9599136857830526
490,6091.009342493115,80.41080228936322,0.6752873563218391,0.32142857142857145,0.0,0,10.331300154495189,0.8322902495153521,0.7734378774820695,7308,24,20.0,3.6405686324436473,2.36048632218845,7.0,20.75,0.0,0.3,0.9556833429173854,1.044137401650355,0.04226024379497723,76.650262,536,550,0.9745454545454545,1770,1807,0.9795240730492529,3347,3439,0.9732480372201221,19276,20289,0.9500714672975504
491,5788.757646948039,78.05832805223145,0.6714245731877974,0.3253568429890848,0.0,0,11.641897798554277,0.8545281321790615,0.7215712202566433,7146,24,20.0,3.20274887412155,2.0598165902459358,6.0,19.583,0.0,0.3,0.9570735510699125,1.0428447528187337,0.041159612908584955,76.117006,1202,1251,0.9608313349320543,2526,2589,0.9756662804171495,3944,4046,0.9747899159663865,14423,15200,0.9488815789473685
492,4998.138953784872,75.74145414921198,0.6412531189354034,0.35583587468810646,0.0,0,11.894252851559253,0.8545867400720905,0.7323841944073011,7214,24,20.0,3.5925201784505743,2.3815391266753134,7.0,22.11,0.0001386001386001386,0.3,0.9663590702020792,1.0332047234888344,0.032145010551703344,72.504002,647,664,0.9743975903614458,2043,2068,0.9879110251450677,3757,3832,0.980427974947808,18372,19119,0.9609289188765103
