update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep
51,1622.3885164252624,72.12205078599769,0.5015927468757657,0.4935064935064935,0.0002450379808870375,0,12.246648787282624,0.847702002126908,0.6720825959714163,8162,27,18.126156261453602,3.84778602348141,3.2752808988764044,8.0,33.614,0.0,0.2983944851961914
52,975.3427088700876,44.06213528070888,0.4972090138515609,0.5001033698573496,0.0,0,9.592259518364932,0.8563802358037367,0.6966727166487088,4837,18,17.168475608809793,3.7269468873733618,3.087318087318087,8.0,20.061,0.0,0.26303548781202346
53,3503.262434365254,57.37827336689403,0.6109342819696686,0.38569556262872123,0.0001872308556450103,0,9.626424938110995,0.8505289348930494,0.7725701819727089,5341,23,16.54850705741168,3.7681198069859563,3.0107263254673615,7.0,18.95,0.0,0.22709642475084751
54,4048.665552011177,81.33455673747108,0.5690157958687728,0.42685297691373025,0.00012150668286755772,0,9.830559013091152,0.8643318708811283,0.7652611569516725,8230,21,17.961142206813037,3.843550722258514,3.7838992099081783,9.0,32.889,0.00012149192078726765,0.3915490425217929
55,1224.3934306054316,45.6187705654422,0.524593338497289,0.47095274980635166,0.0,0,8.62759513541037,0.8637955980721771,0.5817854061300473,5164,20,14.652269433497136,3.684794651289618,2.423403469915098,5.0,19.431,0.0001936108422071636,0.26011074232835685
56,1848.8361125035976,59.124471288457734,0.5224772084250235,0.47280729330399246,0.0,0,8.476790936835505,0.8782522075730899,0.7001803696701601,6362,26,18.34309053239217,3.839517108698199,3.2677496991576414,8.0,25.516,0.0,0.2438122138989152
57,-757.2988284480773,60.138830131341415,0.43418218674775116,0.5608767262131003,0.0002533890789306981,0,6.873947639242052,0.8703487308322732,0.5894126362654675,7893,22,16.172640727372343,3.8385660945586633,3.524948934928509,8.0,35.604,0.00037993920972644377,0.35644056626545795
58,2792.2525391893146,80.34972010038747,0.5335001706290524,0.4624047321123877,0.0,0,9.327606226357382,0.8636955415437112,0.6900444143766158,8791,29,17.55655182699155,3.8794762604573454,3.5577825159914713,8.0,35.955,0.0,0.3044152897484295
59,2428.596510880849,50.882561572518064,0.5721749226006192,0.4231811145510836,0.0,0,7.615606991093729,0.8663798786939302,0.6948510051963152,5168,21,15.801764559394861,3.7104798498980927,2.8961785593506932,7.0,19.092,0.0,0.24607032972031515
60,1435.3940288709869,48.9602596309483,0.5276176306490609,0.4679189138925051,0.0001859773107680863,0,6.063989714137325,0.8615868133915991,0.6126697401432122,5377,29,16.815085662410223,3.7837775107051295,2.681353542474445,6.0,20.766,0.0,0.1851094695559826
61,4489.155644748197,58.319358093122595,0.6739522759173852,0.3234409464607981,0.00020052135552436334,0,14.497563523751605,0.8713137926940073,0.8143313356042184,4987,22,17.873645092930936,3.5250805436078507,2.3957155608449865,7.0,14.234,0.0,0.22893263282155715
62,-1956.126768484526,68.49557231486298,0.40500890705228965,0.5911139054804568,0.00041915540186524154,0,7.301181746812827,0.8717971689361775,0.5842536236046961,9543,29,15.81600946495567,3.884599734462175,4.186028460543338,9.0,45.962,0.0,0.3335666318263233
63,-2559.578149094744,65.17187419562201,0.3912677538137822,0.6029458179905313,0.0,0,9.511832128986015,0.8742010959014603,0.5537571173134658,9505,24,16.449734746980546,3.8490515096568036,4.0892713094917985,9.0,46.287,0.00010519671786240269,0.39769939242631047
64,915.2640824374331,32.9406800969122,0.5113865667339291,0.4837128855577976,0.0002882675122513693,0,6.7070116467485015,0.8674201159835881,0.689747623631783,3469,20,18.553915422124668,3.614902474367073,2.8444193912063134,8.0,13.542,0.0,0.17284810930770067
65,2158.2055171470315,82.66243677419922,0.5143776824034335,0.48047210300429183,0.0,0,10.642307671406634,0.8611196153655248,0.6465838858539121,9320,29,18.226784505544163,3.857009660812436,3.0041718815185647,7.0,37.303,0.0,0.32566913339145065
66,648.67484072222,99.38037922102326,0.4673886087459701,0.5282301397040589,0.0,0,12.832630526469327,0.8629678670210378,0.6355011871975961,12097,32,16.206926388733493,3.8908991632479046,3.3965334276618324,9.0,52.161,0.0,0.38086667225683773
67,3399.8563724827613,54.32720723766865,0.6206079747335176,0.37583892617449666,0.0007895775759968417,0,6.306167035705591,0.8535807144965541,0.7474829312900289,5066,28,15.98805725111881,3.7009108117106457,2.856234096692112,6.849999999999909,17.383,0.0,0.17618663476142674
68,6387.075485757254,87.21400611659634,0.6542519384771832,0.3415533240116944,0.00012711325791280032,0,12.99753043416164,0.8668777276526176,0.8013868248437497,7867,21,16.162337885901067,3.6882273390727667,2.8888673013405866,7.0,25.494,0.0,0.37547004776283655
69,3085.334646452574,45.44105421789267,0.6368171613868795,0.3606884509852831,0.0,0,10.410836660883913,0.8584288202188622,0.8071675495535428,4009,24,17.33920657184641,3.5839169118548724,2.9682726204465335,8.0,13.498,0.0,0.16903728992403216
70,2439.7753858710316,55.95855533980002,0.5537145911277391,0.44236593621949044,0.00017815784785319794,0,8.218006626529075,0.8479653724452497,0.7485602257097923,5613,27,16.25431683866677,3.7795992655064143,3.30984555984556,8.0,21.932,0.0,0.2033453311491292
71,-1057.8935231293249,79.96728233037075,0.4244776691585202,0.569867740080506,0.0002875215641173088,0,10.349267041828936,0.8519791171679886,0.6422453434804547,10434,26,18.629104191741256,3.8662966553066975,3.8983969293294196,9.0,48.568,0.0,0.3952250362690633
72,4448.200800846302,44.34401196947632,0.7786585365853659,0.2201219512195122,0.0,0,13.051735770279755,0.8435940832997973,0.9416173136142414,3280,17,17.759365466093236,3.195566011456384,3.159749412685983,8.0,9.153,0.0,0.18959334369332456
73,2687.3275004207017,52.788571027709885,0.581797011449641,0.41470987774112167,0.00019406171162429653,0,9.70857194687841,0.851148665486629,0.7237528138826191,5153,29,18.676870891132527,3.728262640647313,2.7178118745830555,7.0,18.345,0.0,0.17628467101434497
74,2525.3424066937478,29.50812252078492,0.7134551495016611,0.28446843853820597,0.0004152823920265781,0,10.782733863827524,0.8447559033319171,0.8493120585244285,2408,16,15.087164313445072,2.8676487918872064,2.4662398137369035,6.149999999999864,6.524,0.0,0.1566272587344086
75,5825.681760324793,49.28332694466922,0.8845470692717584,0.1142687981053878,0.0005920663114268798,0,15.967215424158534,0.8645813689515375,0.9615223910314938,3378,18,17.833184617708604,2.6854503023289364,2.4099732262382867,6.0,6.023,0.0,0.18679857636627614
76,4958.710010377687,55.58118532227899,0.7229475547687542,0.2730692631113078,0.0004425757911042266,0,17.07011413849457,0.8594993281627952,0.8717964050597868,4519,16,18.296553486127387,3.2792822160417554,2.4995408631772267,7.0,11.802,0.0,0.28142258116552876
77,1642.1468121779833,63.60974549167752,0.5158774373259053,0.479108635097493,0.0002785515320334262,0,8.751047609353343,0.8408135474868484,0.6338645904143287,7180,31,17.602325814661146,3.8391241140625962,3.0029697624190064,7.0,28.334,0.0,0.23260103958574993
78,-1661.4323774028346,85.28999871646964,0.4229769537341882,0.5726910414139664,0.00025992029111072604,0,12.545009241328515,0.8529154359331714,0.5824742332494152,11542,29,18.974071534289514,3.893269934182253,3.4246210569438755,9.0,52.393,0.00017325017325017325,0.3943314952346332
79,3903.4105994713864,43.890750516378176,0.7142857142857143,0.28114285714285714,0.0,0,16.475135284565795,0.8535462376357315,0.9445607992859794,3500,16,20.318156586096542,3.402072584278564,3.6128,9.0,11.421,0.0,0.21523102991509865
80,3942.1559482045027,55.769758689749104,0.6456177402323126,0.35163674762407604,0.00021119324181626187,0,13.012040017631378,0.8593425888069707,0.8349935233511676,4735,29,18.099809291303355,3.6985299391854016,2.8701341184167486,8.0,15.189,0.0,0.16340217624923034
81,-636.8619694429508,34.408740585789545,0.41801075268817206,0.5763888888888888,0.0,0,9.448828119432012,0.8528029019502292,0.582952510420521,4464,17,18.0394035969385,3.5940583983013097,2.819935691318328,8.0,19.486,0.0,0.2655545357411081
82,5295.258598202471,48.61874837341349,0.8192122414281666,0.178237461037121,0.0,0,9.455368697091618,0.8594675254765854,0.9499766633517137,3529,16,16.55363332901107,3.1380229266484667,3.1393981321342097,7.0,9.253,0.0,0.2218840663837686
83,3910.353783319069,84.50608600036311,0.5609263657957244,0.4346793349168646,0.00023752969121140142,0,14.713401236175457,0.8517043182308024,0.7635136320709257,8420,30,19.32304951502741,3.873285411361932,3.0971839932246454,8.0,31.596,0.0,0.2807068162153682
84,4046.702968342269,49.91730524160624,0.6894674556213017,0.30650887573964497,0.0,0,7.380410633530827,0.8627863717133136,0.804441840575731,4225,22,16.60342314902631,3.5377047854426356,2.7768623412289735,7.0,12.744,0.0,0.19116578621176925
85,3231.45551505631,46.606237652034004,0.646370582617001,0.34909264565425024,0.0004775549188156638,0,9.96922253336809,0.86542064068341,0.7418976611758489,4188,27,16.712807680880164,3.5782998452538344,2.5666789804211305,6.0,13.227,0.0,0.15299556697037994
86,3795.1614509656765,59.62049716003758,0.6269189575151731,0.370581935023206,0.0005355230274901821,0,11.22605696191558,0.8599584257015611,0.727282864786645,5602,19,15.591004032331186,3.578427053920756,2.615888382687927,6.0,18.334,0.0,0.2960122835614498
87,-118.21841872859032,68.99827010174334,0.44743999054038075,0.5480666903157148,0.0,0,16.935690544720153,0.8533472376489345,0.6326797360499834,8457,24,16.763813600972828,3.8542163488612515,2.9976215644820297,9.0,36.12,0.00011823126034523528,0.34918377837832654
88,567.3140505809083,32.45520509103214,0.4886927744070601,0.5052399338113623,0.0011031439602868175,0,11.78701399917198,0.858203150456374,0.682138230089277,3626,20,19.307265538931823,3.5795443765205435,2.9193002257336342,8.0,14.633,0.0,0.18277030382785514
89,-65.51134819359481,80.34624934225793,0.4606054629720935,0.5349571048220096,0.0,0,13.599030812420981,0.8617883095623013,0.5579410750899886,10141,28,18.281555693853534,3.8417508015562807,2.77713551701991,6.0,42.043,0.0,0.3655314083438854
90,2340.610136129946,64.70400462052196,0.5387171337763652,0.458104594047963,0.0001444669170759896,0,12.373342368441715,0.8554900028329492,0.6937356871082734,6922,20,16.835213406399312,3.7002121553861853,2.8736926790024135,7.0,26.421,0.0,0.3473182716024148
91,2751.3681955025127,82.12479784549818,0.5290836653386454,0.4668184405236198,0.0003414911781445646,0,16.080803085225153,0.8574945407458631,0.7018350930740247,8785,30,19.982071405956034,3.858557472973513,3.0862736660929433,8.0,34.461,0.00011381743683132256,0.2918711907003756
92,4898.756330816106,60.39055167407882,0.6875,0.3083984375,0.0,0,11.281737766515631,0.8454900856493576,0.8165121063940861,5120,23,16.98247915073679,3.623932634933567,2.825568181818182,7.0,15.721,0.0,0.21874013459302868
93,1935.1254816226117,87.75643469223698,0.5018032458425166,0.4935884592266079,0.0002003606491685033,0,10.554229678231685,0.852748822971325,0.668880363725411,9982,31,17.767838367869533,3.8885264104696744,3.145538031543222,8.0,40.481,0.0,0.32738700106681784
94,6226.826103470532,71.94416308303515,0.7036542633071917,0.2918404805606541,0.0,0,7.542024639583329,0.8472024965166118,0.8787083481039648,5993,20,18.962295236499216,3.6872620444486834,3.31823571259189,8.0,19.329,0.0,0.30117343724246015
