update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
10,7497.867826165808,71.47862732984807,0.8167731938795274,0.18070889018012784,0.0003873716831299632,0,10.38565564033533,0.8769598714562977,0.6878475184300797,5163,23,24.088464563475032,3.845742247628357,0.9771355214766497,1.0225004347070075,0.022883683086415568,66.42252,283,321,0.881619937694704,798,818,0.9755501222493888,1747,1788,0.977069351230425,25335,25895,0.9783742035141919
11,6208.57742970783,67.44892419804434,0.7510125361620058,0.24648023143683703,0.0,0,11.137224398658285,0.8697544709588243,0.635768062107581,5185,26,21.59403136328779,3.8989268293747577,0.979371681715194,1.019997966308511,0.019789180588703263,61.790698,246,276,0.8913043478260869,576,597,0.964824120603015,893,912,0.9791666666666666,27246,27786,0.980565752537249
12,5761.544319036488,59.835101342678215,0.7680851063829788,0.22936170212765958,0.0,0,9.56431975509934,0.8697453459795782,0.614021125097955,4700,23,20.234820602120728,3.8907890070684648,0.9823858815543866,1.0177138582891336,0.017669611601933654,56.815578,293,323,0.9071207430340558,554,570,0.9719298245614035,1078,1093,0.9862763037511436,27021,27479,0.9833327268095636
13,6609.1339865403625,59.90981968581688,0.8451717734447539,0.15273909006499536,0.00023212627669452182,0,10.39535785697191,0.8950625151689021,0.6774155729917863,4308,17,20.384559958587285,3.7043902937214317,0.9823298188898277,1.0183283648007067,0.018815557077460982,57.568034,456,499,0.9138276553106213,1179,1203,0.9800498753117207,4167,4232,0.9846408317580341,20938,21287,0.9836050171466153
14,6197.3854297926555,70.12612221866965,0.7324513046674017,0.2647923557515619,0.00018375597206909226,0,8.520876418007122,0.8579065259782908,0.6446742376660007,5442,28,22.577563935549485,3.9112407663727167,0.9735841437560993,1.0257378984651713,0.025480422378172756,62.593762,176,201,0.8756218905472637,471,481,0.9792099792099792,989,1013,0.9763079960513327,27296,28022,0.974091785026051
15,5944.356124124292,64.96295583881084,0.7483974358974359,0.25,0.0,0,8.266604423569945,0.8677083344426224,0.6423734702008363,4992,25,24.19235623511431,3.8749491615361116,0.9719645363365624,1.0276337921801517,0.027173732059009623,58.907278,223,247,0.902834008097166,479,502,0.954183266932271,1749,1805,0.9689750692520775,25943,26659,0.9731422784050414
16,5820.490132902169,59.73558805206254,0.7801225323349217,0.21783526208304968,0.0,0,11.157154051176656,0.8857210061990494,0.636912608066864,4407,20,23.8851560229554,3.8673797966479126,0.979753733659849,1.0204547025084652,0.020539846626803148,54.296852,326,371,0.8787061994609164,741,756,0.9801587301587301,1172,1198,0.9782971619365609,26167,26668,0.9812134393280336
17,5934.620262960251,69.35525132216806,0.7181372549019608,0.27906162464985995,0.0,0,8.11170657376841,0.8825323250674956,0.5811678751258829,5712,30,21.513498444357033,3.9283961544624995,0.9830452457282612,1.01641134235516,0.016128507787858095,65.071,169,180,0.9388888888888889,352,361,0.9750692520775623,825,841,0.9809750297265161,28398,28875,0.9834805194805195
18,4935.6102126295755,66.18616842079358,0.6713716974303293,0.3251900108577633,0.0,0,7.593210046275156,0.8734953303396602,0.5832642778736462,5526,31,24.176214545604736,3.90750123853357,0.9749031497389253,1.0244997131576283,0.024097573804983893,58.771308,193,221,0.8733031674208145,469,479,0.9791231732776617,1052,1075,0.9786046511627907,27226,27910,0.975492654962379
19,6331.066813528654,67.35744164369504,0.7588075880758808,0.23790166473093302,0.0,0,7.467576095299124,0.8677851897625283,0.6353469916423761,5166,26,24.710069974145625,3.9070362002042183,0.9632368042719244,1.0366975626501889,0.035650623885918005,62.48692,226,252,0.8968253968253969,528,548,0.9635036496350365,781,803,0.9726027397260274,26605,27611,0.9635652457353953
20,6394.64361322845,57.44048237292066,0.8515019379844961,0.14728682170542637,0.00024224806201550387,0,7.594268221464001,0.8705006935239591,0.6719171739990817,4128,16,22.831589969140886,3.712732004329558,0.9798264481198546,1.0200988223056062,0.020095206947926887,55.857242,557,601,0.9267886855241264,1272,1304,0.9754601226993865,3525,3610,0.9764542936288089,21068,21451,0.9821453545289264
