update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep
598,5856.856075700066,87.61640936899795,0.636897077807769,0.35899542307240934,0.0008214998239643235,0,10.541150563956254,0.8665002656841628,0.6850709898209121,8521,25,18.77173715283528,2.696181462306918,2.871015293900866,6.0,29.018,0.0,0.33888403240448756
599,6453.678910356106,77.29309138146773,0.6985716389338831,0.29686349580326904,0.0007362685907819172,0,10.863880139215226,0.8565072755306371,0.75464262368521,6791,25,18.89764439784704,2.6690156071212976,2.6964586846543,6.0,20.123,0.0,0.2707230605457577
600,4994.59221184019,75.5447148407542,0.6279101615995618,0.36592714324842507,0.0026020268419611066,0,11.962664208075884,0.8539654927226018,0.732720113829483,7302,26,16.901138940167538,3.0500092520105397,3.0314067611777538,7.0,25.145,0.0,0.27786142866138763
601,6315.617753046284,66.66373367852569,0.7443971105760326,0.24837932950546399,0.004260048157066124,0,18.06497238822454,0.860424522761697,0.8338019424142064,5399,29,17.34735178671331,2.771824087478493,2.66981836277681,7.0,14.415,0.0,0.18739606686845128
602,7414.690009095354,89.46682336912293,0.6947169811320755,0.3011320754716981,0.0015094339622641509,0,17.32836914785411,0.8644946637518351,0.7498300217086052,7950,27,15.696034917006767,2.828573969841354,2.5491580662683324,6.0,22.722,0.0,0.2912198092416397
603,4315.38610529378,42.23223834929561,0.7884378843788438,0.2066420664206642,0.0027675276752767526,0,18.564331666836765,0.8485241393995916,0.8652020452613238,3252,18,19.599430839040668,2.1370571295178546,2.358814352574103,6.0,7.507,0.0,0.17797385073873703
604,4476.336754869924,71.4680000053132,0.6157088660952649,0.3793733314598848,0.002107629619221582,0,11.822768511124922,0.8719654912861171,0.7100109551026557,7117,21,17.464273648701216,2.945781501389896,3.1010953902327705,8.0,25.058,0.0,0.3444823344009927
605,7465.531307116307,105.65400401388138,0.6394671928959053,0.3530340404538727,0.003058707449432659,0,12.643833515680507,0.8538314965941844,0.7389248545200349,10135,30,16.879063197450918,3.4396257344058463,3.1990433575065578,7.0,35.185,0.0,0.33763462405206146
606,6618.162135161683,97.2704339742471,0.6328712033019367,0.36141390623346387,0.002539951317599746,0,13.441142182977298,0.8627236990159205,0.7285363624560998,9449,32,15.356832418356042,3.389230267672106,3.0016722408026757,7.0,32.131,0.0,0.2969942009368747
607,4511.715759154193,86.07189566541392,0.581185135587546,0.4129003459435331,0.003013056578506863,0,9.991965128528278,0.8589846948185053,0.6951936353609862,8961,27,14.921149911459732,3.28531961395211,3.3840245775729647,8.0,34.327,0.0001115822361080116,0.3354831631200167
608,5002.545203844997,52.69160726635385,0.7566800662095058,0.2400094585008276,0.0009458500827618822,0,16.632314417529123,0.8631640000526173,0.8016679946392614,4229,16,18.104795054793392,1.8932465768311055,1.8790625,4.0,9.2,0.0,0.2606735772887816
609,5669.956599403814,58.963323163991646,0.7527449324324325,0.24366554054054054,0.0008445945945945946,0,15.74038734865952,0.8534789631019711,0.8306126858775263,4736,18,18.693586614699356,2.4944419835740845,2.7573632538569424,7.0,12.946,0.0,0.2542522755938601
610,4830.952538872892,55.89038065637088,0.715340789196033,0.28107195610888375,0.00042202996412745304,0,11.910289685746653,0.8644295147097922,0.7575585061842584,4739,23,17.31431480203483,2.273961387803332,2.3466076696165192,5.0,12.789,0.0,0.20318503777036737
611,6602.144548154664,68.80447166961575,0.7549513863881887,0.2412675549153763,0.0010803024846957148,0,11.618390615302678,0.8585154073707749,0.8092249061395257,5554,28,15.777232263834716,2.563768145563596,2.5177677080849032,5.0,14.351,0.0,0.1968858202616611
612,4530.410567989223,38.437586771028364,0.882943143812709,0.11482720178372352,0.0,0,16.83972321670806,0.8450538374483534,0.9143473397296539,2691,16,17.63685237519626,1.6552662626018213,1.789983164983165,4.0,3.649,0.0,0.17053398523430063
613,6287.319620084206,87.38845262238637,0.6431226765799256,0.35076148219210934,0.002278450653555582,0,11.945049281419093,0.8535409857728388,0.7507091859853621,8339,26,16.8472870171113,3.282370184146593,3.3731120641432035,7.0,29.54,0.0,0.31981980142417543
614,4842.909320777269,67.52197639887073,0.6474570933711227,0.34671705243268774,0.001889466225791214,0,9.729895815260317,0.8710899088347085,0.7395681928359782,6351,26,16.117630803213387,2.902256655757287,2.9462548638132295,7.0,21.141,0.0,0.24174150520560747
615,6857.462016008812,62.367613716874416,0.8282434481264891,0.16872427983539096,0.000649772579597141,0,19.58933618490263,0.8678398173955539,0.8864403495079226,4617,26,18.242226558972604,2.416571442022523,2.288702928870293,6.0,9.382,0.0,0.17432792918861742
616,5904.073356621212,68.73012618777364,0.7111675126903553,0.28494077834179354,0.0010152284263959391,0,19.6587855891411,0.8612811209606861,0.7654515343720816,5910,26,16.976998539683905,2.3681479177477005,2.158458244111349,5.0,15.341,0.0,0.22629397229037024
617,6435.605212373591,59.13816613403646,0.8197055492638732,0.1739524348810872,0.0011325028312570782,0,15.920159169427581,0.854511045948917,0.8822975877846871,4415,27,17.059209171205723,2.432148875111829,2.386018237082067,5.0,9.585,0.0,0.1562851269006933
618,4615.335402729192,108.93406642749343,0.5512284806953034,0.4423366204245362,0.002674243690456293,0,13.07561244135721,0.8543440097749091,0.6799927058768018,11966,31,16.74783292212441,3.5924164549606874,3.54214675560946,8.0,47.497,8.356313194618534e-05,0.3916163638978061
619,7081.25978794666,92.88066096357028,0.6590301197813699,0.33492266542621235,0.00325619258053262,0,13.928249256330883,0.8493573891043404,0.7695982735771739,8599,24,17.59076227223767,3.2158595840085678,3.352038115404976,8.0,29.574,0.0,0.3598868136205992
620,4737.056107966272,86.70447125367956,0.5885637703819522,0.40540540540540543,0.002568684386866205,0,11.347900421933447,0.8627725851820058,0.6856325913395775,8954,27,17.722842610512775,3.15289339242962,3.278557874762808,8.0,33.66,0.0,0.3294531617215214
621,6783.089088408147,68.97178371414188,0.7622080679405521,0.23336871903750886,0.0017692852087756545,0,12.966421804017989,0.8458119206371414,0.8273447847328942,5652,23,18.23543487013294,2.5638150742362895,2.6822191272051996,6.0,15.068,0.0,0.24268510656138978
622,3110.1632946908717,33.34727826530077,0.7415477084898573,0.25507137490608567,0.0003756574004507889,0,18.59420355829821,0.8471509826392797,0.8477095915794481,2662,16,16.568155324977702,2.1155273584195915,2.7335359675785207,7.0,7.419,0.0,0.16668014340974666
623,2090.7001107428705,77.24078399579159,0.510350935458873,0.4844459205136721,0.002324809033543673,0,11.262782009290158,0.8283165911836413,0.653751370130157,9033,23,20.493234572102825,3.3220949167140614,3.6475054229934925,9.0,38.347,0.0,0.393259790307779
624,7668.336997375091,86.82340711516245,0.7123971401591798,0.28315122082827465,0.0016187778227438284,0,14.681633991685409,0.859991343431668,0.8072345733728106,7413,27,17.799921990002424,3.0384139423406955,2.656125733762545,7.0,21.056,0.0,0.27736390366268593
625,5735.884435443292,71.20427534528233,0.6837253655435473,0.3118245390972664,0.0012714558169103624,0,13.281796340070935,0.871692518013331,0.7648234980553853,6292,25,19.359803935452852,2.7227225399775166,2.5734542073454207,7.0,18.537,0.0,0.25225810145548777
