update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
525,4956.024204163455,62.774611171685606,0.6816420014094433,0.31553911205074,0.00017618040873854828,0,16.510628395656568,0.8459606971328139,0.7570272384102816,5676,17,16.70506806164837,1.934831788288362,2.359782889635565,6.0,15.921,0.0
526,8419.208431335695,96.72932158986373,0.7021050141911069,0.2925733207190161,0.002601702932828761,0,12.538728565883673,0.8536152828595108,0.8177361625601337,8456,26,18.99271666522445,3.17721461003147,3.254168772107125,7.0,27.087,0.0
527,5922.451706683826,90.87610542967018,0.623769024171889,0.3705237242614145,0.0024619516562220233,0,15.405108360246139,0.842367723349902,0.7281338925478753,8936,27,18.975848583740063,2.9495964397456906,2.9944384642985287,8.0,30.301,0.0
528,5230.542673106478,100.81126684049917,0.5815227659172492,0.4129038352541092,0.0017003589646703192,0,8.879692274218613,0.8515074032770739,0.6817142576375473,10586,32,18.136644140505073,3.324780474431602,3.3664717348927877,7.0,40.857,0.0
529,8137.244917697928,85.19184176474243,0.7562760005738057,0.24085497059245445,0.00028690288337397793,0,24.926620167326877,0.8499243540620182,0.7984099943313686,6971,21,17.41658830869096,2.0612206070478343,2.0800455235204858,5.0,16.114,0.0
530,5189.838282477321,96.44284231431253,0.5935406459354065,0.40185981401859816,0.0010998900109989002,0,15.777838498141683,0.832167105781195,0.6693632102333968,10001,30,17.124212594125147,2.849278683888006,2.8162061994609164,6.0,35.458,0.0
531,7811.144578333367,92.28868430584093,0.695077149155033,0.3000244917952486,0.0011021307861866275,0,16.82559319891267,0.8398870061531342,0.7924474843472363,8166,25,16.133119984735004,2.823128314135404,2.9362226920366457,7.0,25.174,0.0
532,6131.080875026156,70.4957262144126,0.7129100701811654,0.2838256895707524,0.00016321201240411296,0,20.187200434267712,0.8284656956077642,0.7618758271331858,6127,19,16.23200268050821,2.2268279007824967,2.651098901098901,6.0,17.524,0.00016318537859007833
533,5434.274057992357,83.80367942188683,0.6208519367684325,0.3733558585736696,0.00229274767708459,0,11.9792516662947,0.8450686429564397,0.7259528134958323,8287,25,17.036424489812703,2.9582118150277865,3.293877551020408,7.0,29.841,0.0
534,5425.55143348245,89.27506738237007,0.6079775280898876,0.3865168539325843,0.0017977528089887641,0,15.377845741306029,0.844325150287048,0.7234648929504996,8900,27,17.879344681626403,3.1086679707441496,3.278876362964332,7.0,32.526,0.0
535,3336.5449988988667,58.57077500645049,0.6100405679513184,0.3869168356997972,0.0003380662609871535,0,14.095179150700492,0.8470199243696998,0.6617136523040986,5916,18,18.782187743008343,1.7754667891985862,2.303408146300914,5.0,19.055,0.0
