seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
20074,SU+DPF,-6508.5032,67.2851,58.4356,30.0688,0.3143,0.6788,0.0001,1.0,0.6749
20074,SU+PF,-6966.7694,69.6664,58.1255,30.0835,0.3158,0.678,0.0001,1.0,0.6743
20074,SU+Rnd,-10986.7771,56.2203,41.2708,28.762,0.2303,0.7632,0.0004,1.0,0.6683
20074,SUS+CQI,3672.9112,109.3784,103.0794,15.7919,0.546,0.4508,0.0,3.998,0.6224
20074,SUS+DPF,-2747.4699,85.6119,74.0632,14.9411,0.3957,0.5979,0.0,3.9999,0.6464
20074,SUS+PF,-2557.4211,88.6565,75.0828,15.15,0.4046,0.5893,0.0003,4.0,0.6392
20074,SUS+Rnd,-2367.7836,89.2005,76.0715,15.3718,0.4083,0.5861,0.0001,4.0,0.5901
20075,PPO,7181.8755,110.5828,106.9833,16.8361,0.6392,0.3583,0.0,3.3382,0.7157
20075,SU+CQI,2161.3361,92.2179,89.9723,31.2112,0.5249,0.4716,0.0,1.0,0.5697
20075,SU+DPF,-1721.2376,76.8924,67.0649,29.5535,0.4013,0.5921,0.0001,1.0,0.7784
20075,SU+PF,-2178.2805,79.7194,67.0788,29.6182,0.405,0.5894,0.0004,1.0,0.7745
20075,SU+Rnd,-6144.1104,67.0861,49.6278,28.5798,0.3077,0.6863,0.0001,1.0,0.7928
20075,SUS+CQI,6449.8781,113.2621,103.7766,15.4073,0.6102,0.3871,0.0,3.9932,0.7371
20075,SUS+DPF,5214.217,110.1874,96.2481,15.3113,0.5703,0.4258,0.0005,3.9996,0.7712
20075,SUS+PF,5266.0224,111.0647,97.0152,15.4217,0.5754,0.4212,0.0005,3.9983,0.7673
20075,SUS+Rnd,2498.838,101.0384,85.4299,15.1279,0.5064,0.4892,0.0001,4.0,0.7163
20076,PPO,7864.3642,98.815,96.1456,9.5202,0.6896,0.3083,0.0,3.5322,0.7757
20076,SU+CQI,2157.9943,78.4733,75.4714,22.4996,0.533,0.464,0.0,1.0,0.6308
20076,SU+DPF,-503.5507,66.6797,60.2762,21.4746,0.432,0.5624,0.0001,1.0,0.8113
20076,SU+PF,-671.308,69.549,60.8929,21.7839,0.4398,0.5556,0.0003,1.0,0.7937
20076,SU+Rnd,-3632.1172,61.6023,47.171,20.5642,0.3467,0.6476,0.0001,1.0,0.8391
20076,SUS+CQI,7723.433,101.221,95.5575,8.7747,0.679,0.3187,0.0,3.9555,0.7859
20076,SUS+DPF,4929.1984,91.1955,82.4764,8.525,0.5888,0.4074,0.0,3.9987,0.8191
20076,SUS+PF,4727.2982,92.3972,81.8959,8.4636,0.5859,0.411,0.0,3.9978,0.8164
20076,SUS+Rnd,3434.0095,88.5015,75.4961,8.5077,0.5433,0.4534,0.0,3.9993,0.7991
20077,PPO,7631.1734,82.9149,81.366,14.6643,0.7454,0.252,0.0,2.9356,0.7942
