world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
V60max,SUS+CQI-Feasible,30030,3767.1639,107.9695,104.6071,0.5539,0.4432,3.7663,0.6203
V60max,SUS+CQI@m=3,30030,3223.7613,107.8171,101.7839,0.5374,0.4596,3.0,0.6153
V60max,SUS-RPS,30031,3044.3702,64.5576,63.5524,0.5879,0.4097,2.2261,0.6391
V60max,SUS+CQI-Feasible,30031,2972.0448,64.4585,63.6621,0.586,0.4116,3.3199,0.6373
V60max,SUS+CQI@m=3,30031,2503.2155,64.9438,60.6805,0.5583,0.4388,2.9915,0.6418
V60max,SUS-RPS,30032,5132.8754,87.7369,87.2818,0.6185,0.3789,2.9111,0.6983
V60max,SUS+CQI-Feasible,30032,5787.1621,93.1311,90.3019,0.6319,0.3657,3.7622,0.7006
V60max,SUS+CQI@m=3,30032,5472.8058,93.336,88.4214,0.6179,0.3795,2.9998,0.6944
V60max,SUS-RPS,30033,7054.5965,62.7632,61.7441,0.8535,0.1454,2.3572,0.8999
V60max,SUS+CQI-Feasible,30033,6984.5601,62.463,61.7488,0.8511,0.1478,3.4024,0.8912
V60max,SUS+CQI@m=3,30033,6892.789,63.6119,60.6801,0.8349,0.1638,2.939,0.9023
V60max,SUS-RPS,30034,2096.0857,98.079,97.5208,0.5185,0.4775,2.7539,0.6441
V60max,SUS+CQI-Feasible,30034,5035.8165,113.6385,110.4666,0.5785,0.4184,3.7279,0.6415
V60max,SUS+CQI@m=3,30034,4236.7681,112.314,106.7635,0.5576,0.4394,2.9999,0.6283
V60max,SUS-RPS,30035,4582.4104,52.6075,50.8618,0.7275,0.2705,2.1258,0.7743
V60max,SUS+CQI-Feasible,30035,3933.6669,48.9824,48.7972,0.7005,0.2975,2.7737,0.7194
V60max,SUS+CQI@m=3,30035,4041.1764,51.414,48.4488,0.6921,0.3059,2.9414,0.7637
V60max,SUS-RPS,30036,2797.4646,39.1364,37.141,0.6655,0.3333,1.7642,0.7398
V60max,SUS+CQI-Feasible,30036,2163.799,35.3557,35.3115,0.6338,0.3656,2.3126,0.6508
V60max,SUS+CQI@m=3,30036,2458.3705,38.195,35.7254,0.6392,0.3596,2.8762,0.721
V60max,SUS-RPS,30037,3727.6702,74.3606,72.5427,0.5952,0.4014,2.4523,0.6311
V60max,SUS+CQI-Feasible,30037,3233.5005,71.4298,71.1799,0.5849,0.4119,3.0393,0.5986
V60max,SUS+CQI@m=3,30037,3043.6897,73.0086,69.4639,0.5692,0.4271,2.9331,0.6208
V60max,SUS-RPS,30038,-2392.9124,85.9028,85.3667,0.4304,0.5645,2.467,0.5977
