update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
841,6185.565990186578,112.52752572534074,0.6078189662763054,0.38909923395262835,0.0,0,11.891611028972118,0.8604909456435808,0.6686814018211057,11357,26,21.80770014618117,3.3919529527520904,2.261625380269448,6.0,36.081,0.0040340261334736475,0.4398364989915121,0.9484943563831955,1.0495729290122195,0.047136478353717724,109.375032,820,902,0.9090909090909091,2099,2189,0.9588853357697579,3010,3131,0.9613541999361227,17348,18319,0.9469949233036737
842,4312.387899751609,74.093079170074,0.6166599272139103,0.37956597924248553,0.00013478905512872354,0,15.487453820560141,0.8550447753331153,0.6776139591480146,7419,29,22.80454482150699,2.9631110826859133,1.9746448087431694,6.0,22.536,0.0,0.2557473197649531,0.9538427923745015,1.0454918705863032,0.044370204102938876,71.533494,2373,2547,0.9316843345111896,3424,3501,0.9780062839188803,3499,3623,0.9657742202594535,8166,8636,0.945576655859194
843,2869.7005203978556,40.27697057068439,0.6635919696147585,0.3339663591969615,0.0013564839934888768,0,14.32884587961528,0.8601742000706714,0.7192534788467098,3686,23,21.641462615599814,2.176976569555884,1.6721177432542926,5.0,9.538,0.0,0.16198119489025833,0.9531661112085599,1.044994276657568,0.045698024774020754,38.559906,4885,5160,0.9467054263565892,2826,2924,0.966484268125855,1796,1891,0.9497620306716024,1361,1427,0.9537491240364401
844,7003.950597579108,111.4448457252332,0.6328117766873438,0.3642255346727155,0.0,0,12.788975828399527,0.8658438476487216,0.6847673703001724,10801,26,22.303712112109427,3.2913201998582613,2.130943672275055,6.0,32.473,0.0035058584740289694,0.4136609942090277,0.9333849395776889,1.0665717490723963,0.062379032258064515,108.431918,1135,1212,0.9364686468646864,2145,2236,0.9593023255813954,2806,2931,0.957352439440464,15618,16874,0.9255659594642646
845,5138.059884420633,43.78831739595249,0.8817379941195688,0.11434171839268213,0.0013067624959163672,0,14.135344464953745,0.8325967362192188,0.9293098517653198,3061,17,22.987415376663545,2.3699282737951455,1.8692108188217857,5.0,4.342,0.0,0.18293073928550035,0.9464724464724464,1.0534001935427113,0.05238649592549476,42.82192,4213,4485,0.9393534002229654,2841,2948,0.9637042062415196,1946,2053,0.9478811495372625,1786,1910,0.9350785340314136
846,7593.72420153623,80.82122678507503,0.7514589256322011,0.24599730659883287,0.0,0,18.14256955438926,0.8581283589023435,0.8033671058609755,6683,16,20.168294611494147,3.15535126570327,2.108920748705695,6.0,15.628,0.0011956359288596622,0.41700380466494247,0.9420962749493009,1.0575297013807128,0.05449591280653951,79.106348,2352,2512,0.9363057324840764,2664,2805,0.9497326203208556,3172,3336,0.9508393285371702,9465,10085,0.9385225582548339
847,5769.384262941933,89.59956837607147,0.6359944302622418,0.3608725922487816,0.0,0,14.668805123278176,0.8527084039660094,0.7025898269244387,8618,27,23.742928764661265,3.3810017884250936,2.168764823937238,6.0,25.941,0.0008115942028985507,0.322094074287555,0.9364816589701142,1.0633304195804196,0.059647685374846375,86.658474,1033,1111,0.9297929792979298,2402,2498,0.9615692554043235,3643,3900,0.9341025641025641,14418,15445,0.9335059889932017
848,7082.47925409921,91.12923341933596,0.6820073439412485,0.31468788249694,0.0002447980416156671,0,11.708866030665963,0.8511011303868959,0.7585857906579462,8170,29,23.257076269712538,3.527162516797904,2.4109834888729362,6.0,23.315,0.0002447381302006853,0.27696801058025844,0.9156048998320292,1.0828119855120184,0.0768852583011875,87.708104,682,728,0.9368131868131868,1740,1843,0.9441128594682583,3251,3459,0.9398670135877422,16676,18379,0.9073398987975406
849,5747.408262071603,93.7126745774613,0.6248233887620911,0.3728942506249321,0.0,0,8.942338564457108,0.8448353003511598,0.6799761490826065,9201,26,20.85072541187597,3.3363487038309447,2.5254826926421985,6.0,29.602,0.0005431240495329133,0.35749757269007587,0.9022361322736071,1.0973096026490066,0.08847597597597598,91.158716,708,761,0.9303547963206308,1579,1679,0.9404407385348421,2738,2940,0.9312925170068027,16884,18903,0.8931915568957308
850,5482.84647831457,68.13047247480499,0.6952003958436418,0.3021606465446149,0.00016493485073396007,0,10.564023027858724,0.8380282371956076,0.7379794250117562,6063,28,20.60945120788173,3.001590664926498,2.0308422301304865,5.0,15.771,0.0,0.2175617650287362,0.9030595460028512,1.0990654205607477,0.0906008476689105,66.34594,2163,2308,0.9371750433275563,2818,3002,0.938707528314457,3320,3623,0.9163676511178581,8169,9305,0.87791509940892
851,2916.05635214796,91.2785374849249,0.5429748822605965,0.4543759811616955,0.0,0,10.249879979846872,0.857195992034849,0.6172598731654082,10192,28,21.250073655474857,3.365880959595969,2.4347668955547523,6.0,36.8,0.00205620287868403,0.3636858174113323,0.9142588074140662,1.0833476690177188,0.07696866727251175,87.472294,812,870,0.9333333333333333,2296,2405,0.9546777546777547,3730,3915,0.9527458492975734,14520,16171,0.8979036546904954
852,2739.7065253767637,64.86011001603859,0.5685652487382841,0.4295602018745494,0.0,0,7.29560780422875,0.8399683965014755,0.6544021988532654,6935,19,21.743238731915262,3.0686985169752616,2.673852396652295,7.0,25.021,0.0012960829493087558,0.36787222477995585,0.9214031321656828,1.077013521457966,0.07152563870266353,62.043744,1413,1538,0.9187256176853056,2965,3102,0.9558349451966474,4385,4662,0.9405834405834406,10123,11195,0.9042429656096471
853,4476.501890970053,108.09287288854891,0.5674838709677419,0.42933333333333334,0.0,0,13.150648431941194,0.8564906432673415,0.6322005870844932,11625,31,22.573180845509796,3.5617270608433445,2.4436865241776564,6.0,40.665,0.0018888984287799434,0.37734239604796405,0.8975192200998653,1.1005657821340347,0.09135429044686903,103.954212,437,486,0.8991769547325102,1412,1487,0.9495628782784129,2739,2912,0.9405906593406593,18060,20349,0.8875128998968008
854,4303.217698143574,88.20076843010399,0.5875669179503987,0.4099202447285043,0.00010925379656943078,0,13.327179617558429,0.8479244990290267,0.6579361863279924,9153,24,23.958964538888782,3.196949447881023,2.366307177389364,6.0,30.609,0.0014182849661793584,0.3815668425729038,0.9090201420648049,1.0907979659690983,0.08388304510607951,85.35781,1414,1558,0.9075738125802311,2819,2971,0.9488387748232918,3577,3820,0.9363874345549739,10874,12205,0.8909463334698894
855,5219.512032188428,85.53749583777245,0.6234464627151052,0.3727294455066922,0.0,0,8.593427910750428,0.8494237976074825,0.7017392759970281,8368,30,25.578531745158436,3.395833306994159,2.271995399654974,6.0,25.902,0.0001194885888397658,0.27892074651637244,0.9355893823122405,1.0614393397060682,0.05798933438672724,81.954442,834,900,0.9266666666666666,2286,2393,0.9552862515670706,3547,3728,0.9514484978540773,15644,16826,0.9297515749435398
856,5648.81719691086,47.41338415576143,0.8970406905055487,0.09802712700369914,0.0036991368680641184,0,13.462309820651676,0.8444429922045038,0.9107015608094714,3244,20,19.90899124694365,2.463566394482476,1.6735395189003437,4.0,3.996,0.0,0.16553430562111687,0.9198681814239875,1.0815686274509804,0.08104877271278291,46.75873,3584,3910,0.9166240409207161,2648,2821,0.9386742289968096,2193,2382,0.9206549118387909,2182,2418,0.902398676592225
857,7697.759217142348,84.48713366076392,0.7386200973375322,0.2592327512167191,0.0,0,13.08463118764438,0.8346553223981669,0.8218604583481106,6986,21,24.260284453742692,3.247759595209385,2.2947674418604653,6.0,17.474,0.0001431229426077,0.3316969617532056,0.8928443006112909,1.1064917626400868,0.09674276169265034,81.68719,1704,1893,0.9001584786053882,2719,2888,0.9414819944598338,3163,3398,0.9308416715715127,9795,11288,0.867735648476258
858,3244.363749695582,96.26592192877227,0.5452671040299907,0.4521087160262418,0.0,0,11.169698468539384,0.8554527696058193,0.6297714867001443,10670,29,23.66487768520549,3.5901927155360602,2.8581986937091783,7.0,40.628,0.0015907176943950594,0.3705636746841717,0.9036800243559006,1.092557800697826,0.08461645648993242,91.874134,318,340,0.9352941176470588,1082,1134,0.9541446208112875,2453,2654,0.9242652599849284,19893,22149,0.8981443857510497
859,3181.328669992021,119.31197665239704,0.5284116001766525,0.4687177977329604,0.0,0,11.787817588296484,0.8381213535442574,0.6313445302875004,13586,30,21.8110761873211,3.885474518004615,3.1122719041649254,8.0,54.183,0.005053094104723544,0.4514289039492254,0.8986062347058198,1.0964389041683038,0.08765288293535235,112.714588,65,70,0.9285714285714286,372,392,0.9489795918367347,1084,1163,0.9320722269991402,23817,26572,0.8963194339906668
860,5802.060134150994,73.69387088031333,0.6869565217391305,0.30999237223493514,0.0,0,9.360682215383386,0.8532294465548899,0.7699423646539358,6555,16,23.267656373505943,3.1860813202040674,2.54941150344215,6.0,19.213,0.0024349414092223404,0.40508166302893345,0.9166325742079185,1.080844066867635,0.07508934202228296,71.569022,1202,1303,0.9224865694551037,2092,2235,0.9360178970917226,3727,4023,0.9264230673626647,13144,14438,0.9103753982546059
861,4744.816136202328,47.8869125885001,0.7777777777777778,0.2187666135034556,0.0,0,17.430690469759508,0.8532825631813726,0.839676588748277,3762,20,21.7964639661538,2.4404773530832498,1.9224196855775804,5.0,7.772,0.0,0.1879484024869102,0.9403738881350822,1.0596316425120773,0.056338028169014086,46.228458,3946,4174,0.945376137997125,3401,3573,0.9518611810803247,2631,2797,0.9406506971755453,2497,2722,0.917340191036003
862,3462.7679163240828,87.0561003819362,0.5631757472970108,0.4331142675429298,0.00010599957600169599,0,11.889997829766166,0.8525152029144936,0.6275766096852992,9434,25,23.44209821435263,3.252960067079664,2.316017316017316,6.0,32.499,0.0021155066638459913,0.3742009617309485,0.9336926762491444,1.063364550219091,0.05958080218851833,84.127498,931,999,0.9319319319319319,2281,2412,0.9456882255389718,3638,3885,0.9364221364221365,14976,16080,0.9313432835820895
863,4885.61807074836,58.41676055014615,0.707176843774782,0.2908406026962728,0.0,0,16.35699615155163,0.856200691862461,0.7945995227459854,5044,25,22.901871957723415,2.8495379708493878,2.230726100364452,7.0,13.285,0.00019821605550049553,0.2004106122415694,0.9407126703746714,1.0569025842489719,0.05400404741254698,55.936288,2633,2875,0.9158260869565218,3786,3956,0.9570273003033367,3817,3992,0.9561623246492986,5155,5538,0.9308414590104731
864,1783.229207955971,78.86803752021464,0.5231700605393506,0.47231700605393506,0.0002201430930104568,0,14.189775701280498,0.8585114750058921,0.5940596794824291,9085,19,20.557440131307015,2.7585608163324906,2.301493793393646,7.0,33.011,0.009701329845214737,0.485020431514818,0.9426694368016172,1.0541685494803434,0.05200681358458426,75.533036,2485,2715,0.9152854511970534,3282,3411,0.9621811785400176,2888,3003,0.9617049617049617,8133,8680,0.9369815668202764
865,8100.763396005551,110.13095128954701,0.6672930471763426,0.3295420828800317,0.0,0,12.244689954834431,0.8634084710692744,0.7308825258847943,10111,28,21.134748468112967,3.555292879921823,2.3045798132503337,6.0,29.382,0.0012840774397471354,0.36200551694551475,0.9202210120443615,1.0779277839910528,0.07221095334685598,106.666026,546,604,0.9039735099337748,1696,1793,0.9459007250418293,2667,2843,0.9380935631375308,18241,19917,0.9158507807400713
866,6008.271226541223,58.566349667346714,0.7945084145261293,0.20283436669619131,0.0,0,11.476755200672194,0.8574242869783794,0.8717941765368716,4516,19,22.93641198938264,2.8403642773903304,2.1273690078037903,6.0,9.442,0.0,0.2329877850560936,0.9412238325281803,1.0561392601802921,0.053409157530632585,56.636962,2893,3097,0.9341298030351953,3547,3699,0.9589078129224115,3642,3811,0.9556546838100236,5115,5539,0.923451886622134
867,5601.240688578584,79.61202738494794,0.656774540083255,0.3400026856452263,0.0001342822613132805,0,12.883675754410815,0.8587914493296765,0.721108965882453,7447,32,22.785329386188927,3.090137778875202,2.0400736045798404,6.0,21.021,0.0002684924150892737,0.23097198326524387,0.9357812259947764,1.062731196054254,0.05921179417999615,77.043642,1799,1957,0.9192641798671436,3303,3444,0.9590592334494773,3729,3940,0.9464467005076143,9442,10186,0.9269585705870803
868,6638.236117155274,69.36923048399308,0.761921835783435,0.23718178558623162,0.0,0,10.933173863205157,0.8514083600927198,0.8082998123519007,5578,21,24.19746521986792,2.930896792939709,2.0524705882352943,5.0,12.35,0.00035842293906810036,0.2631272075166632,0.9163418465297574,1.082392842523829,0.07630716320060187,67.33975,2551,2774,0.9196106705118962,2829,3025,0.935206611570248,2948,3176,0.9282115869017632,7423,8214,0.9037009982955929
869,9038.78026048008,103.46018468584748,0.7217241379310345,0.2750574712643678,0.0,0,9.824718133177251,0.8498866125372763,0.815572795451656,8700,19,21.48557808213252,3.641420032921984,2.710304188565058,7.0,24.54,0.005714285714285714,0.46739898745692265,0.9139384822453585,1.0814398469265727,0.07509519625073229,99.243556,550,590,0.9322033898305084,1500,1603,0.9357454772301934,2670,2847,0.9378292939936775,18367,20221,0.908313139805153
870,2890.9412128684253,45.445086204129204,0.6348185576481397,0.3603582912264584,0.0009186954524575103,0,9.386582934301845,0.8391724701282295,0.6869852444486113,4354,24,20.461356498665516,2.329155266880094,1.6986251808972503,4.0,11.94,0.0,0.17835228685125934,0.9395135818066962,1.0593690551680406,0.057878291920845114,43.933848,4257,4538,0.9380784486557955,2879,3005,0.9580698835274543,2281,2435,0.9367556468172484,2481,2686,0.9236783320923306
871,1953.730523601354,72.99674359255276,0.5306146854819421,0.46627601052379813,0.00011958861516383641,0,11.74381457160594,0.845451287090961,0.5905839196365136,8362,24,24.816102600697054,2.7991457567973526,2.293892269551499,6.0,30.541,0.0007170172084130019,0.3496203439412767,0.9026287401351275,1.097291132021671,0.0891083988415391,70.451154,2362,2560,0.92265625,2895,3081,0.9396299902629016,2971,3201,0.9281474539206498,7670,8771,0.8744726941055752
872,3558.1281533658434,43.64843358233515,0.7011889035667107,0.2969616908850727,0.0002642007926023778,0,8.133764773504822,0.8415187251115575,0.7730775478736174,3785,24,24.64663345168525,2.2525003793773872,1.894498869630746,5.0,9.304,0.0,0.15944657072623486,0.9407366598457422,1.0570210077396935,0.05552664833122724,41.856608,4202,4449,0.9444819060463026,3233,3381,0.9562259686483289,2487,2666,0.9328582145536384,2031,2210,0.9190045248868778
873,5595.957604425561,86.10275741040019,0.6381752701080432,0.3584633853541417,0.0,0,9.81177794792372,0.8565258804041449,0.710328117757728,8330,31,21.35042493100675,3.236977926533994,2.176260346124906,6.0,24.965,0.00024003840614498319,0.26662418457901754,0.9315596502773338,1.067929150179009,0.06368557721931253,83.188144,1503,1588,0.9464735516372796,2795,2864,0.9759078212290503,3710,3860,0.961139896373057,11810,12962,0.9111248264156766
874,4990.807270586904,97.50863549687828,0.5932847007095033,0.40281802738083344,9.9930048965724e-05,0,9.24913800266585,0.8713875883126927,0.674749412284952,10007,26,20.717946741765182,3.519730126397573,2.5165908708101736,7.0,34.042,0.0017955112219451373,0.38096205381524506,0.9519205044907318,1.0455051222038905,0.04399137710548431,93.806416,543,584,0.9297945205479452,1502,1573,0.9548633184996821,3173,3307,0.9594798911400061,19689,20701,0.9511134727790928
