config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V60max,PPO,30034,30,4952.1,112.13,109.5,0.577,0.4196,3.108
V60max,SUS+CQI@0.70,30035,21,3850.0,50.9,47.58,0.6801,0.3177,3.844
V60max,SU+CQI,30035,21,4229.1,51.41,49.48,0.7066,0.2914,1.0
V60max,PPO,30035,21,4539.6,51.76,50.45,0.7282,0.27,2.243
V60max,SUS+CQI@0.70,30036,20,2341.2,37.8,35.24,0.6307,0.3679,3.687
V60max,SU+CQI,30036,20,2658.9,38.66,36.65,0.6556,0.3438,1.0
V60max,PPO,30036,20,2763.5,38.36,37.01,0.6672,0.3319,1.959
V60max,SUS+CQI@0.70,30037,18,2954.4,72.63,69.06,0.5663,0.4296,3.841
V60max,SU+CQI,30037,18,2441.2,69.58,67.59,0.5538,0.4424,1.0
V60max,PPO,30037,18,3770.1,74.27,72.71,0.597,0.3996,2.36
V60max,SUS+CQI@0.70,30038,29,1646.6,108.26,101.9,0.5018,0.4943,4.0
V60max,SU+CQI,30038,29,-5408.8,79.05,75.76,0.373,0.6223,1.0
V60max,PPO,30038,29,1562.6,104.82,101.21,0.5037,0.492,3.679
V60max,SUS+CQI@0.70,30039,20,2519.7,37.7,34.09,0.6446,0.3527,3.888
V60max,SU+CQI,30039,20,3233.5,39.51,37.36,0.7042,0.2937,1.0
V60max,PPO,30039,20,3171.4,38.31,36.71,0.7054,0.2925,1.956
CSI02,SUS+CQI@0.75,30000,23,2549.5,50.36,46.5,0.5914,0.3966,3.873
CSI02,SU+CQI,30000,23,2932.9,50.89,48.4,0.6149,0.3804,1.0
CSI02,PPO,30000,23,3170.1,50.8,48.94,0.6312,0.363,2.289
CSI02,SUS+CQI@0.75,30001,19,2289.9,78.12,72.79,0.5328,0.46,3.963
CSI02,SU+CQI,30001,19,1051.0,70.8,69.15,0.5063,0.4898,1.0
CSI02,PPO,30001,19,3068.9,78.76,76.36,0.5617,0.4321,2.534
CSI02,SUS+CQI@0.75,30002,32,1191.3,108.17,101.12,0.492,0.5038,4.0
CSI02,SU+CQI,30002,32,-6458.4,75.92,73.73,0.3565,0.6396,1.0
CSI02,PPO,30002,32,1029.4,103.87,100.36,0.4938,0.5019,3.725
CSI02,SUS+CQI@0.75,30003,21,1322.9,36.93,33.24,0.5475,0.4465,3.94
CSI02,SU+CQI,30003,21,1786.2,37.58,35.71,0.5844,0.412,1.0
CSI02,PPO,30003,21,1785.2,36.83,35.21,0.5875,0.4073,1.856
CSI02,SUS+CQI@0.75,30004,18,2952.2,69.49,63.93,0.5627,0.4282,3.932
CSI02,SU+CQI,30004,18,984.7,59.67,57.53,0.505,0.4914,1.0
CSI02,PPO,30004,18,3362.6,69.21,65.8,0.582,0.4103,3.097
CSI02,SUS+CQI@0.75,30005,24,3686.1,68.17,63.52,0.599,0.3899,3.982
CSI02,SU+CQI,30005,24,2642.6,62.37,60.39,0.5688,0.426,1.0
CSI02,PPO,30005,24,4146.9,67.98,65.95,0.6235,0.3681,2.719
CSI02,SUS+CQI@0.75,30006,28,3970.2,97.52,91.55,0.5617,0.4327,3.999
CSI02,SU+CQI,30006,28,-1656.1,73.4,71.05,0.4355,0.5594,1.0
CSI02,PPO,30006,28,3652.9,93.11,89.93,0.5593,0.435,3.471
CSI02,SUS+CQI@0.75,30007,19,4044.0,56.67,54.83,0.6644,0.3267,3.607
CSI02,SU+CQI,30007,19,3775.4,55.04,53.91,0.6537,0.3424,1.0
CSI02,PPO,30007,19,4181.5,56.69,55.49,0.6735,0.3199,2.422
CSI02,SUS+CQI@0.75,30008,19,5184.8,85.52,79.46,0.6213,0.3734,3.97
CSI02,SU+CQI,30008,19,2044.6,71.19,68.98,0.5364,0.4611,1.0
CSI02,PPO,30008,19,5633.6,84.7,81.7,0.6417,0.3549,3.37
CSI02,SUS+CQI@0.75,30009,16,4987.4,47.25,44.09,0.8176,0.1682,3.584
CSI02,SU+CQI,30009,16,5035.5,46.63,44.64,0.8273,0.1668,1.0
CSI02,PPO,30009,16,5229.2,46.95,45.25,0.843,0.1453,2.452
CSI02,SUS+CQI@0.75,30010,18,1788.7,51.37,46.52,0.544,0.4486,3.947
CSI02,SU+CQI,30010,18,1895.6,50.12,47.73,0.5567,0.439,1.0
CSI02,PPO,30010,18,2530.8,51.75,49.92,0.5884,0.4055,2.281
CSI02,SUS+CQI@0.75,30011,30,1092.5,109.95,104.42,0.4911,0.5029,3.997
CSI02,SU+CQI,30011,30,-4648.7,85.6,83.45,0.3914,0.6033,1.0
CSI02,PPO,30011,30,1685.7,110.2,107.18,0.5052,0.4892,3.105
CSI02,SUS+CQI@0.75,30012,17,2141.9,37.38,33.74,0.61,0.3802,3.818
CSI02,SU+CQI,30012,17,2656.4,38.3,36.29,0.6549,0.3399,1.0
CSI02,PPO,30012,17,2633.6,37.35,35.8,0.6578,0.3358,1.938
CSI02,SUS+CQI@0.75,30013,32,3979.0,77.97,73.35,0.5932,0.4002,3.99
CSI02,SU+CQI,30013,32,2152.7,68.91,66.9,0.5422,0.4539,1.0
CSI02,PPO,30013,32,4216.4,76.4,74.52,0.6081,0.3862,2.706
CSI02,SUS+CQI@0.75,30014,16,-3882.9,47.65,43.1,0.3467,0.6408,3.922
CSI02,SU+CQI,30014,16,-2953.1,49.37,47.52,0.3813,0.612,1.0
CSI02,PPO,30014,16,-2793.3,50.08,47.89,0.3859,0.6057,1.835
CSI02,SUS+CQI@0.75,30015,30,4022.0,94.67,90.36,0.5699,0.4246,3.99
CSI02,SU+CQI,30015,30,-235.6,76.38,74.75,0.4707,0.5248,1.0
CSI02,PPO,30015,30,4186.4,93.32,91.05,0.5778,0.4168,2.858
CSI02,SUS+CQI@0.75,30016,24,4730.1,105.6,101.26,0.576,0.4197,3.908
CSI02,SU+CQI,30016,24,-1621.1,79.72,77.65,0.4415,0.555,1.0
CSI02,PPO,30016,24,5227.8,105.66,103.29,0.5903,0.4061,3.247
CSI02,SUS+CQI@0.75,30017,26,2726.3,87.24,83.25,0.541,0.4551,3.997
CSI02,SU+CQI,30017,26,-1844.2,68.56,66.38,0.4305,0.5663,1.0
CSI02,PPO,30017,26,2810.1,85.7,83.94,0.5474,0.4486,3.054
CSI02,SUS+CQI@0.75,30018,24,3133.9,65.27,60.84,0.5839,0.4119,3.923
CSI02,SU+CQI,30018,24,2016.5,59.4,57.48,0.5486,0.4483,1.0
CSI02,PPO,30018,24,3623.4,64.95,63.22,0.6104,0.3863,2.653
CSI02,SUS+CQI@0.75,30019,28,4429.6,75.56,71.61,0.6158,0.3761,3.972
CSI02,SU+CQI,30019,28,1440.6,62.63,60.79,0.521,0.4734,1.0
CSI02,PPO,30019,28,4610.3,74.33,72.41,0.6275,0.3645,3.031
CSI02,SUS+CQI@0.75,30020,30,4235.3,81.02,76.71,0.5993,0.3973,3.989
CSI02,SU+CQI,30020,30,2528.1,72.72,71.03,0.5535,0.4443,1.0
CSI02,PPO,30020,30,4525.4,79.79,78.08,0.6147,0.3822,2.666
CSI02,SUS+CQI@0.75,30021,21,3229.6,43.32,40.35,0.6741,0.3147,3.666
CSI02,SU+CQI,30021,21,3559.9,43.89,41.91,0.7002,0.2931,1.0
CSI02,PPO,30021,21,3654.5,43.64,42.17,0.7098,0.2827,2.218
CSI02,SUS+CQI@0.75,30022,20,3973.7,63.18,59.2,0.6298,0.3628,3.878
CSI02,SU+CQI,30022,20,2969.9,57.97,56.07,0.5951,0.4022,1.0
CSI02,PPO,30022,20,4515.6,63.5,61.78,0.659,0.3358,2.614
CSI02,SUS+CQI@0.75,30023,28,2890.9,115.5,108.22,0.5236,0.472,3.98
CSI02,SU+CQI,30023,28,-4297.4,84.85,82.59,0.3993,0.597,1.0
CSI02,PPO,30023,28,2937.5,112.81,108.07,0.5278,0.4681,3.512
CSI02,SUS+CQI@0.75,30024,19,1530.7,74.8,68.16,0.5098,0.4847,3.991
CSI02,SU+CQI,30024,19,266.0,66.88,64.7,0.4822,0.5138,1.0
CSI02,PPO,30024,19,2472.6,74.93,72.52,0.5459,0.449,2.632
CSI02,SUS+CQI@0.75,30025,22,7286.3,95.54,88.49,0.6758,0.3138,3.983
CSI02,SU+CQI,30025,22,4010.7,80.31,77.76,0.5913,0.4055,1.0
CSI02,PPO,30025,22,7896.7,95.09,91.23,0.702,0.2895,3.385
CSI02,SUS+CQI@0.75,30026,27,3852.5,66.48,60.0,0.6098,0.3752,3.988
CSI02,SU+CQI,30026,27,3102.0,61.17,58.69,0.593,0.4028,1.0
