config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
STORM2,SUS+PF,30014,16,-6376.8,45.3,40.27,0.2933,0.6905,3.966
STORM2,SUS+Random,30014,16,-6219.6,45.8,41.12,0.2986,0.6859,3.971
STORM2,SU+PF,30014,16,-7813.8,38.85,34.17,0.2515,0.7371,1.0
STORM2,SU+Random,30014,16,-9774.2,31.99,25.99,0.1948,0.7946,1.0
STORM2,SUS+PF,30015,30,-15632.7,75.78,56.0,0.2246,0.7663,4.0
STORM2,SUS+Random,30015,30,-12612.2,88.17,67.22,0.2671,0.7257,4.0
STORM2,SU+PF,30015,30,-20867.2,49.4,38.89,0.1562,0.8361,1.0
STORM2,SU+Random,30015,30,-21405.3,50.96,34.51,0.1439,0.8491,1.0
STORM2,SUS+PF,30016,24,-2938.4,94.06,83.63,0.4075,0.5838,3.999
STORM2,SUS+Random,30016,24,-637.6,103.07,92.42,0.4496,0.5425,3.996
STORM2,SU+PF,30016,24,-10827.0,59.88,54.22,0.265,0.7269,1.0
STORM2,SU+Random,30016,24,-11250.8,62.66,49.36,0.2495,0.743,1.0
STORM2,SUS+PF,30017,26,-14148.5,65.42,47.28,0.2156,0.7761,4.0
STORM2,SUS+Random,30017,26,-12595.8,72.59,52.63,0.2395,0.7531,4.0
STORM2,SU+PF,30017,26,-17391.1,47.48,37.51,0.1696,0.8233,1.0
STORM2,SU+Random,30017,26,-19260.2,44.64,27.51,0.1315,0.8619,1.0
STORM2,SUS+PF,30018,24,-7679.1,80.04,64.44,0.3136,0.6797,4.0
STORM2,SUS+Random,30018,24,-7893.2,79.8,63.22,0.3085,0.685,4.0
STORM2,SU+PF,30018,24,-12951.3,54.84,45.94,0.2238,0.7692,1.0
STORM2,SU+Random,30018,24,-15018.0,51.19,35.26,0.1788,0.814,1.0
STORM2,SUS+PF,30019,28,-14982.1,72.19,49.6,0.214,0.7772,4.0
STORM2,SUS+Random,30019,28,-15322.1,72.19,47.37,0.2058,0.7869,4.0
STORM2,SU+PF,30019,28,-19055.4,50.27,36.7,0.1591,0.8333,1.0
STORM2,SU+Random,30019,28,-20562.7,47.49,29.56,0.1319,0.8617,1.0
STORM2,SUS+PF,30020,30,-15745.1,75.74,55.73,0.2215,0.7697,4.0
STORM2,SUS+Random,30020,30,-12475.7,88.91,68.47,0.2689,0.7233,4.0
