config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI02,SUS+CQI@0.70,30032,31,3536.9,87.11,79.92,0.559,0.4306,4.0
CSI02,SUS+CQI@0.70,30033,23,5728.6,60.03,55.4,0.7639,0.2203,3.909
CSI02,SUS+CQI@0.70,30034,30,3881.6,111.39,104.85,0.548,0.4478,3.999
CSI02,SUS+CQI@0.70,30035,21,3745.5,50.41,47.16,0.6742,0.3174,3.859
CSI02,SUS+CQI@0.70,30036,20,2058.5,36.93,34.0,0.6084,0.3772,3.701
CSI02,SUS+CQI@0.70,30037,18,2415.8,70.39,66.85,0.5478,0.4443,3.853
CSI02,SUS+CQI@0.70,30038,29,883.8,105.47,98.66,0.4864,0.5087,4.0
CSI02,SUS+CQI@0.70,30039,20,2279.1,36.96,33.11,0.6244,0.3596,3.896
D26,SUS+CQI@0.80,30000,23,2840.9,51.21,46.39,0.5908,0.4076,3.558
D26,SUS+CQI@0.80,30001,19,3002.8,80.07,73.79,0.5414,0.4572,3.875
D26,SUS+CQI@0.80,30002,32,1650.8,110.09,99.54,0.4868,0.5116,3.978
D26,SUS+CQI@0.80,30003,21,1385.2,37.11,32.39,0.5356,0.4631,3.638
D26,SUS+CQI@0.80,30004,18,4460.1,74.62,68.11,0.6018,0.3972,3.762
D26,SUS+CQI@0.80,30005,24,4184.6,69.76,63.46,0.6025,0.3951,3.876
D26,SUS+CQI@0.80,30006,28,4148.5,98.69,88.9,0.5494,0.4487,3.986
D26,SUS+CQI@0.80,30007,19,4302.8,57.03,54.42,0.6611,0.3379,3.301
D26,SUS+CQI@0.80,30008,19,5308.5,86.35,77.21,0.6067,0.3917,3.882
D26,SUS+CQI@0.80,30009,16,5516.7,48.65,45.06,0.8379,0.1609,3.153
D26,SUS+CQI@0.80,30010,18,1773.1,51.6,44.87,0.5271,0.4714,3.775
D26,SUS+CQI@0.80,30011,30,1491.3,111.39,103.07,0.4858,0.5121,3.978
D26,SUS+CQI@0.80,30012,17,2287.0,37.83,33.3,0.6031,0.3955,3.475
D26,SUS+CQI@0.80,30013,32,4137.6,78.35,71.75,0.5825,0.4157,3.934
D26,SUS+CQI@0.80,30014,16,-3298.3,49.47,44.5,0.3583,0.6392,3.781
D26,SUS+CQI@0.80,30015,30,4207.0,94.91,88.48,0.5602,0.4381,3.964
D26,SUS+CQI@0.80,30016,24,5131.1,106.64,99.91,0.5703,0.4282,3.722
D26,SUS+CQI@0.80,30017,26,2894.0,87.71,81.34,0.5311,0.4674,3.969
D26,SUS+CQI@0.80,30018,24,3244.5,65.69,59.55,0.5716,0.4274,3.754
D26,SUS+CQI@0.80,30019,28,4796.8,76.65,70.82,0.612,0.3856,3.867
D26,SUS+CQI@0.80,30020,30,4259.6,80.98,74.41,0.5834,0.4159,3.93
D26,SUS+CQI@0.80,30021,21,3531.2,44.01,40.41,0.6773,0.3203,3.231
D26,SUS+CQI@0.80,30022,20,4685.3,65.25,60.58,0.6446,0.3542,3.654
D26,SUS+CQI@0.80,30023,28,3720.3,118.87,107.82,0.5243,0.4744,3.987
D26,SUS+CQI@0.80,30024,19,1910.3,76.36,67.34,0.5058,0.4927,3.939
D26,SUS+CQI@0.80,30025,22,8682.1,100.59,91.35,0.6997,0.299,3.899
D26,SUS+CQI@0.80,30026,27,4899.3,69.9,62.72,0.6373,0.3614,3.864
D26,SUS+CQI@0.80,30027,22,5985.8,92.98,86.77,0.6186,0.3797,3.913
D26,SUS+CQI@0.80,30028,16,8635.4,80.19,73.67,0.8017,0.1962,3.631
D26,SUS+CQI@0.80,30029,18,3426.8,65.27,56.54,0.576,0.4229,3.748
D26,SUS+CQI@0.80,30030,30,3104.5,107.92,97.63,0.5175,0.4806,3.988
D26,SUS+CQI@0.80,30031,21,1573.6,62.25,54.63,0.5061,0.4919,3.807
D26,SUS+CQI@0.80,30032,31,4886.7,92.17,82.46,0.5805,0.4178,3.964
D26,SUS+CQI@0.80,30033,23,6540.2,62.24,57.15,0.7913,0.2076,3.585
D26,SUS+CQI@0.80,30034,30,4265.8,113.14,102.97,0.5401,0.4582,3.965
D26,SUS+CQI@0.80,30035,21,4121.5,51.31,47.37,0.6791,0.3204,3.41
D26,SUS+CQI@0.80,30036,20,2424.5,37.74,34.57,0.6203,0.3789,3.125
D26,SUS+CQI@0.80,30037,18,3205.3,72.77,68.32,0.5611,0.437,3.58
D26,SUS+CQI@0.80,30038,29,1031.6,106.8,96.18,0.4752,0.5234,3.984
D26,SUS+CQI@0.80,30039,20,2575.9,37.81,33.25,0.6295,0.3687,3.477
