config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V50,SUS+CQI@0.80,30006,5566.9,103.95,97.89,0.599,0.3967,3.988
V50,SUS+CQI@0.80,30007,4195.9,57.52,55.35,0.6706,0.3271,3.779
V50,SU+CQI,30000,3535.9,53.11,50.69,0.6456,0.352,1.0
V50,SU+CQI,30001,1785.1,73.89,72.05,0.5267,0.4695,1.0
V50,SU+CQI,30002,-5075.3,81.09,79.18,0.3833,0.613,1.0
V50,SU+CQI,30003,2273.0,39.64,37.51,0.6142,0.384,1.0
V50,SU+CQI,30004,2457.9,65.41,63.54,0.5565,0.4404,1.0
V50,SU+CQI,30005,3710.1,66.6,64.62,0.608,0.3878,1.0
V50,SU+CQI,30006,-628.7,77.52,75.08,0.4599,0.5353,1.0
V50,SU+CQI,30007,4170.5,56.87,55.45,0.6716,0.3263,1.0
V50,PPO-HL,30000,3831.3,53.44,51.52,0.6632,0.3337,2.401
V50,PPO-HL,30001,4192.8,82.88,80.75,0.5951,0.4014,2.737
V50,PPO-HL,30002,3299.9,113.17,109.6,0.5364,0.4605,3.806
V50,PPO-HL,30003,2570.7,39.97,38.38,0.6371,0.3609,2.118
V50,PPO-HL,30004,5352.8,76.53,74.49,0.6547,0.3432,3.1
V50,PPO-HL,30005,5568.1,73.44,71.84,0.6776,0.3192,2.91
V50,PPO-HL,30006,5813.3,102.16,99.31,0.6103,0.3851,3.588
V50,PPO-HL,30007,4549.9,57.94,56.78,0.6918,0.3053,2.501
V60,SUS+CQI@0.60,30000,2984.6,52.42,47.92,0.6113,0.3863,3.992
V60,SUS+CQI@0.60,30001,3200.3,82.01,76.18,0.5581,0.438,3.996
V60,SUS+CQI@0.60,30002,2414.2,112.07,106.31,0.5174,0.4796,4.0
V60,SUS+CQI@0.60,30003,1860.6,39.32,35.19,0.5792,0.4182,3.993
V60,SUS+CQI@0.60,30004,4640.5,75.29,71.16,0.6255,0.3722,3.99
V60,SUS+CQI@0.60,30005,4718.3,72.17,67.74,0.6388,0.3576,3.977
V60,SUS+CQI@0.60,30006,5231.2,102.12,96.79,0.5928,0.4029,3.96
V60,SUS+CQI@0.60,30007,4195.3,57.49,55.37,0.6706,0.3276,3.975
V60,SUS+CQI@0.65,30000,2966.0,52.36,47.84,0.6103,0.3873,3.989
V60,SUS+CQI@0.65,30001,3216.7,82.12,76.24,0.5586,0.4377,3.997
V60,SUS+CQI@0.65,30002,2501.8,112.53,106.49,0.5186,0.4784,4.0
V60,SUS+CQI@0.65,30003,1853.2,39.28,35.19,0.5789,0.4187,3.987
V60,SUS+CQI@0.65,30004,4683.6,75.36,71.36,0.6271,0.3703,3.991
V60,SUS+CQI@0.65,30005,4718.5,72.23,67.78,0.6388,0.3579,3.985
V60,SUS+CQI@0.65,30006,5348.8,102.56,97.32,0.5956,0.4002,3.962
V60,SUS+CQI@0.65,30007,4193.9,57.44,55.39,0.6708,0.3274,3.96
V60,SUS+CQI@0.70,30000,2942.8,52.29,47.78,0.609,0.3885,3.981
V60,SUS+CQI@0.70,30001,3228.1,82.07,76.27,0.559,0.4373,3.992
V60,SUS+CQI@0.70,30002,2658.2,113.12,107.13,0.5214,0.4756,4.0
V60,SUS+CQI@0.70,30003,1832.1,39.24,35.08,0.5771,0.4206,3.975
V60,SUS+CQI@0.70,30004,4672.1,75.52,71.33,0.6262,0.3715,3.986
V60,SUS+CQI@0.70,30005,4697.4,72.28,67.55,0.6373,0.3591,3.99
V60,SUS+CQI@0.70,30006,5479.3,103.16,97.77,0.5985,0.3972,3.975
V60,SUS+CQI@0.70,30007,4213.5,57.45,55.49,0.672,0.3259,3.93
V60,SUS+CQI@0.75,30000,2907.2,52.15,47.66,0.6074,0.3901,3.963
V60,SUS+CQI@0.75,30001,3178.8,81.91,76.05,0.5575,0.4388,3.974
V60,SUS+CQI@0.75,30002,2712.1,113.54,107.37,0.5221,0.4749,4.0
V60,SUS+CQI@0.75,30003,1807.2,39.18,34.95,0.5753,0.4224,3.952
V60,SUS+CQI@0.75,30004,4629.7,75.4,71.14,0.6244,0.3734,3.976
V60,SUS+CQI@0.75,30005,4635.8,72.13,67.24,0.6344,0.3618,3.987
V60,SUS+CQI@0.75,30006,5520.7,103.43,97.85,0.5994,0.3967,3.993
