world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
CSI02,SU+Deadline-PF,40004,-650.7,48.61,0.5733,1.0
CSI02,SU+PF,40004,-469.2,50.66,0.5553,1.0
CSI02,SU+Random,40004,-4329.5,33.94,0.6917,1.0
CSI02,SU+MW,40004,887.7,57.88,0.5095,1.0
CSI02,SU+EDF,40004,-8654.6,18.57,0.8317,1.0
CSI02,SUS+Deadline-PF,40005,2007.8,74.8,0.478,3.993
CSI02,SUS+PF,40005,1819.4,74.14,0.4821,3.992
CSI02,SUS+Random,40005,1486.7,72.61,0.4941,3.996
CSI02,SUS+MW,40005,4009.2,83.64,0.4228,3.974
CSI02,SUS+EDF,40005,-686.0,61.76,0.5667,3.999
CSI02,SU+CQI,40005,897.0,72.75,0.498,1.0
CSI02,SU+Deadline-PF,40005,-2252.8,56.88,0.603,1.0
CSI02,SU+PF,40005,-2365.2,57.5,0.5961,1.0
CSI02,SU+Random,40005,-4502.5,47.22,0.6589,1.0
CSI02,SU+MW,40005,-125.4,68.05,0.5367,1.0
CSI02,SU+EDF,40005,-6350.9,39.95,0.7159,1.0
CSI02,SUS+Deadline-PF,40006,4719.2,63.31,0.3368,3.963
CSI02,SUS+PF,40006,4751.3,63.66,0.3343,3.955
CSI02,SUS+Random,40006,4857.2,63.98,0.3317,3.969
CSI02,SUS+MW,40006,5815.8,68.52,0.2897,3.898
CSI02,SUS+EDF,40006,3266.5,55.72,0.4153,3.998
CSI02,SU+CQI,40006,5003.5,65.59,0.3227,1.0
CSI02,SU+Deadline-PF,40006,2898.4,55.45,0.422,1.0
CSI02,SU+PF,40006,2749.1,55.38,0.4196,1.0
CSI02,SU+Random,40006,200.0,43.6,0.5288,1.0
CSI02,SU+MW,40006,4875.9,65.01,0.3335,1.0
CSI02,SU+EDF,40006,-3087.4,29.94,0.677,1.0
CSI02,SUS+Deadline-PF,40007,1349.7,29.9,0.425,3.877
CSI02,SUS+PF,40007,1344.1,29.92,0.4247,3.877
CSI02,SUS+Random,40007,1096.5,28.79,0.4441,3.889
CSI02,SUS+MW,40007,1445.7,30.39,0.4191,3.768
CSI02,SUS+EDF,40007,921.7,27.49,0.474,3.9
CSI02,SU+CQI,40007,2017.3,33.17,0.378,1.0
CSI02,SU+Deadline-PF,40007,1609.1,30.89,0.42,1.0
CSI02,SU+PF,40007,1579.8,30.83,0.4179,1.0
CSI02,SU+Random,40007,127.6,24.4,0.5298,1.0
CSI02,SU+MW,40007,1681.3,31.46,0.4091,1.0
CSI02,SU+EDF,40007,-1000.7,18.68,0.6414,1.0
