config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V60max,SU+Random,30032,31,-6096.6,54.4,38.18,0.2813,0.7134,1.0
V60max,SUS+PF,30033,23,6388.3,62.39,58.04,0.8022,0.1958,3.864
V60max,SUS+Random,30033,23,5571.9,60.13,54.23,0.7514,0.2457,3.92
V60max,SU+PF,30033,23,5487.6,58.76,54.5,0.7545,0.2431,1.0
V60max,SU+Random,30033,23,3351.9,52.07,44.31,0.6233,0.3714,1.0
V60max,SUS+PF,30034,30,-2670.1,91.18,75.16,0.3997,0.5953,4.0
V60max,SUS+Random,30034,30,-2440.4,92.09,76.05,0.4032,0.5917,4.0
V60max,SU+PF,30034,30,-7755.0,68.08,55.8,0.3006,0.6938,1.0
V60max,SU+Random,30034,30,-11154.3,57.98,40.94,0.227,0.7674,1.0
V60max,SUS+PF,30035,21,3630.1,50.65,46.44,0.6639,0.3333,3.777
V60max,SUS+Random,30035,21,3280.1,49.43,44.97,0.6431,0.3542,3.87
V60max,SU+PF,30035,21,3775.0,50.51,47.21,0.6757,0.322,1.0
V60max,SU+Random,30035,21,1942.6,45.01,38.69,0.558,0.4386,1.0
V60max,SUS+PF,30036,20,2228.2,37.67,34.69,0.6205,0.3783,3.626
V60max,SUS+Random,30036,20,2084.7,37.19,34.07,0.6095,0.3891,3.696
V60max,SU+PF,30036,20,2452.8,38.31,35.54,0.6378,0.3605,1.0
V60max,SU+Random,30036,20,1690.8,36.06,31.99,0.5753,0.4228,1.0
V60max,SUS+PF,30037,18,2199.1,70.23,65.68,0.5393,0.4557,3.865
V60max,SUS+Random,30037,18,2138.9,69.65,65.47,0.5378,0.4572,3.919
V60max,SU+PF,30037,18,37.3,61.65,56.56,0.4685,0.5251,1.0
V60max,SU+Random,30037,18,-2092.2,54.14,46.81,0.3936,0.5995,1.0
V60max,SUS+PF,30038,29,-8982.9,74.72,55.41,0.2802,0.7141,4.0
V60max,SUS+Random,30038,29,-8071.3,78.14,58.41,0.2973,0.697,4.0
V60max,SU+PF,30038,29,-11339.2,60.74,47.58,0.2429,0.7504,1.0
V60max,SU+Random,30038,29,-14496.6,52.04,33.84,0.1779,0.8156,1.0
V60max,SUS+PF,30039,20,2121.4,36.91,32.2,0.6096,0.3867,3.859
V60max,SUS+Random,30039,20,1817.9,35.74,31.0,0.5867,0.4084,3.896
V60max,SU+PF,30039,20,2725.6,38.72,34.71,0.6569,0.3401,1.0
V60max,SU+Random,30039,20,1311.7,34.12,28.48,0.5416,0.453,1.0
CSI02,SUS+PF,30000,23,2294.4,49.56,45.49,0.578,0.407,3.941
CSI02,SUS+Random,30000,23,2054.2,48.55,44.41,0.5646,0.4198,3.965
CSI02,SU+PF,30000,23,2122.4,48.57,44.79,0.5697,0.4187,1.0
CSI02,SU+Random,30000,23,107.0,41.83,35.24,0.4571,0.5342,1.0
CSI02,SUS+PF,30001,19,-1452.9,66.0,56.04,0.4153,0.5752,3.998
CSI02,SUS+Random,30001,19,-1514.9,64.89,56.13,0.4141,0.5753,3.999
CSI02,SU+PF,30001,19,-5156.4,50.27,41.64,0.3107,0.6815,1.0
CSI02,SU+Random,30001,19,-7498.8,42.71,31.42,0.2393,0.7526,1.0
CSI02,SUS+PF,30002,32,-9453.4,74.09,54.35,0.2738,0.7174,4.0
CSI02,SUS+Random,30002,32,-9121.8,75.79,55.03,0.2776,0.7142,4.0
CSI02,SU+PF,30002,32,-12907.3,55.2,42.91,0.2184,0.7758,1.0
CSI02,SU+Random,30002,32,-15149.1,50.82,32.36,0.1697,0.8244,1.0
CSI02,SUS+PF,30003,21,639.8,35.22,30.06,0.4979,0.4938,3.985
CSI02,SUS+Random,30003,21,67.5,33.3,27.34,0.4572,0.535,3.992
CSI02,SU+PF,30003,21,804.1,35.33,30.77,0.5099,0.4852,1.0
CSI02,SU+Random,30003,21,-1460.6,27.9,20.42,0.3523,0.6412,1.0
CSI02,SUS+PF,30004,18,369.7,61.48,51.98,0.4633,0.5241,3.996
CSI02,SUS+Random,30004,18,-851.9,57.47,46.54,0.417,0.573,3.998
CSI02,SU+PF,30004,18,-2387.0,49.0,41.9,0.3741,0.6193,1.0
CSI02,SU+Random,30004,18,-4694.0,42.15,31.25,0.2862,0.7074,1.0
CSI02,SUS+PF,30005,24,1562.1,61.66,53.97,0.5133,0.4723,3.998
CSI02,SUS+Random,30005,24,482.8,58.45,48.6,0.4656,0.5181,3.999
CSI02,SU+PF,30005,24,-278.2,53.12,47.16,0.4489,0.5412,1.0
CSI02,SU+Random,30005,24,-3520.1,42.99,32.14,0.3165,0.6731,1.0
CSI02,SUS+PF,30006,28,-4152.4,72.55,54.65,0.3475,0.6427,4.0
CSI02,SUS+Random,30006,28,-5016.3,70.39,50.14,0.3219,0.6684,4.0
CSI02,SU+PF,30006,28,-7567.7,54.55,43.34,0.2758,0.7164,1.0
CSI02,SU+Random,30006,28,-10314.1,47.45,30.53,0.2025,0.7895,1.0
CSI02,SUS+PF,30007,19,3655.9,55.65,52.98,0.6431,0.3453,3.752
CSI02,SUS+Random,30007,19,3522.9,55.07,52.22,0.6351,0.3529,3.813
CSI02,SU+PF,30007,19,2711.8,51.88,48.95,0.5967,0.3987,1.0
CSI02,SU+Random,30007,19,682.6,45.08,39.21,0.4864,0.5052,1.0
CSI02,SUS+PF,30008,19,1049.4,71.97,61.46,0.4852,0.5038,3.999
CSI02,SUS+Random,30008,19,1397.1,73.42,62.51,0.4936,0.4981,4.0
CSI02,SU+PF,30008,19,-3365.7,52.46,44.54,0.3561,0.6353,1.0
CSI02,SU+Random,30008,19,-4779.1,49.44,37.26,0.3049,0.6877,1.0
CSI02,SUS+PF,30009,16,4812.6,46.9,43.19,0.8023,0.1839,3.713
CSI02,SUS+Random,30009,16,4595.0,46.3,42.24,0.7846,0.2009,3.773
