world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
P010,SUS+CQI@0.80,40001,1893.9,21.18,0.3013,3.2
P010,SUS+CQI@0.60,40002,4300.1,37.63,0.1714,3.775
P010,SUS+CQI@0.65,40002,4312.8,37.68,0.1704,3.744
P010,SUS+CQI@0.70,40002,4334.7,37.82,0.168,3.701
P010,SUS+CQI@0.75,40002,4355.5,37.89,0.1663,3.637
P010,SUS+CQI@0.80,40002,4354.4,37.92,0.167,3.517
P010,SUS+CQI@0.60,40003,3568.7,32.53,0.2055,3.808
P010,SUS+CQI@0.65,40003,3589.2,32.59,0.2036,3.763
P010,SUS+CQI@0.70,40003,3600.5,32.64,0.2024,3.706
P010,SUS+CQI@0.75,40003,3666.0,32.95,0.1952,3.616
P010,SUS+CQI@0.80,40003,3698.1,33.08,0.1929,3.464
P010,SUS+CQI@0.60,40004,3189.2,24.69,0.0501,2.837
P010,SUS+CQI@0.65,40004,3193.2,24.71,0.0495,2.767
P010,SUS+CQI@0.70,40004,3198.4,24.72,0.0482,2.666
P010,SUS+CQI@0.75,40004,3205.2,24.77,0.047,2.546
P010,SUS+CQI@0.80,40004,3207.0,24.77,0.047,2.383
P010,SUS+CQI@0.60,40005,2052.4,22.79,0.2723,2.813
P010,SUS+CQI@0.65,40005,2052.8,22.79,0.2723,2.761
P010,SUS+CQI@0.70,40005,2053.7,22.79,0.2723,2.698
P010,SUS+CQI@0.75,40005,2059.0,22.81,0.2713,2.597
P010,SUS+CQI@0.80,40005,2066.1,22.85,0.2698,2.463
P010,SUS+CQI@0.60,40006,2370.4,21.7,0.1894,3.048
P010,SUS+CQI@0.65,40006,2373.3,21.68,0.1888,2.964
P010,SUS+CQI@0.70,40006,2389.7,21.74,0.1864,2.847
P010,SUS+CQI@0.75,40006,2401.4,21.77,0.184,2.694
P010,SUS+CQI@0.80,40006,2432.1,21.94,0.1799,2.533
P010,SUS+CQI@0.60,40007,1512.2,19.12,0.3406,3.533
P010,SUS+CQI@0.65,40007,1520.3,19.15,0.3401,3.445
P010,SUS+CQI@0.70,40007,1570.8,19.4,0.3324,3.367
P010,SUS+CQI@0.75,40007,1622.6,19.65,0.3237,3.246
P010,SUS+CQI@0.80,40007,1654.9,19.79,0.3182,3.093
P010,SUS+Deadline-PF,40000,2377.6,21.62,0.1832,2.681
P010,SUS+PF,40000,2379.4,21.63,0.1826,2.676
P010,SUS+Random,40000,2337.6,21.47,0.1892,2.745
P010,SUS+MW,40000,2352.0,21.5,0.1874,2.7
P010,SUS+EDF,40000,2367.5,21.52,0.1844,2.818
P010,SU+CQI,40000,2553.6,22.47,0.1545,1.0
P010,SU+Deadline-PF,40000,2478.1,22.11,0.1641,1.0
P010,SU+PF,40000,2469.1,22.07,0.1647,1.0
P010,SU+Random,40000,2378.4,21.57,0.1814,1.0
P010,SU+MW,40000,2452.5,21.95,0.1731,1.0
P010,SU+EDF,40000,2476.0,21.69,0.1766,1.0
P010,SUS+Deadline-PF,40001,1868.6,20.99,0.306,3.22
P010,SUS+PF,40001,1858.2,20.94,0.3076,3.212
P010,SUS+Random,40001,1723.1,20.4,0.3268,3.324
P010,SUS+MW,40001,1846.0,20.96,0.3102,3.239
P010,SUS+EDF,40001,1708.8,20.2,0.3314,3.441
P010,SU+CQI,40001,2402.0,23.38,0.2303,1.0
P010,SU+Deadline-PF,40001,2393.6,23.18,0.2339,1.0
P010,SU+PF,40001,2363.3,23.14,0.2365,1.0
P010,SU+Random,40001,1826.5,20.59,0.3169,1.0
P010,SU+MW,40001,2160.6,22.29,0.2697,1.0
P010,SU+EDF,40001,1304.7,17.66,0.4051,1.0
P010,SUS+Deadline-PF,40002,4321.1,37.67,0.1711,3.551
P010,SUS+PF,40002,4281.6,37.46,0.1753,3.547
P010,SUS+Random,40002,3835.5,35.27,0.2195,3.666
P010,SUS+MW,40002,4171.5,36.97,0.1877,3.573
P010,SUS+EDF,40002,3917.7,35.3,0.2167,3.798
P010,SU+CQI,40002,4604.3,39.3,0.1393,1.0
P010,SU+Deadline-PF,40002,4518.8,38.6,0.1517,1.0
P010,SU+PF,40002,4480.1,38.45,0.1542,1.0
P010,SU+Random,40002,3388.2,33.11,0.2606,1.0
P010,SU+MW,40002,4330.4,37.84,0.1721,1.0
P010,SU+EDF,40002,2780.1,29.48,0.3387,1.0
P010,SUS+Deadline-PF,40003,3706.5,33.04,0.1929,3.483
P010,SUS+PF,40003,3713.1,33.09,0.1914,3.476
P010,SUS+Random,40003,3335.9,31.34,0.2309,3.582
P010,SUS+MW,40003,3570.6,32.45,0.2081,3.514
P010,SUS+EDF,40003,3329.1,31.16,0.2346,3.717
P010,SU+CQI,40003,4198.5,35.51,0.138,1.0
P010,SU+Deadline-PF,40003,4148.8,35.04,0.1475,1.0
P010,SU+PF,40003,4113.3,34.88,0.1501,1.0
P010,SU+Random,40003,3278.5,30.91,0.2392,1.0
P010,SU+MW,40003,3846.6,33.68,0.1827,1.0
P010,SU+EDF,40003,2274.9,25.7,0.3613,1.0
P010,SUS+Deadline-PF,40004,3208.6,24.77,0.047,2.393
P010,SUS+PF,40004,3204.9,24.75,0.0476,2.391
P010,SUS+Random,40004,3192.8,24.69,0.0495,2.485
P010,SUS+MW,40004,3218.7,24.83,0.0451,2.417
P010,SUS+EDF,40004,3234.0,24.87,0.0427,2.581
P010,SU+CQI,40004,3222.3,24.88,0.0439,1.0
P010,SU+Deadline-PF,40004,3230.5,24.94,0.0421,1.0
P010,SU+PF,40004,3220.9,24.88,0.0439,1.0
P010,SU+Random,40004,3191.3,24.68,0.0513,1.0
P010,SU+MW,40004,3212.8,24.83,0.047,1.0
P010,SU+EDF,40004,3318.0,25.11,0.0359,1.0
P010,SUS+Deadline-PF,40005,2063.5,22.85,0.2703,2.473
P010,SUS+PF,40005,2060.0,22.83,0.2708,2.472
P010,SUS+Random,40005,2060.8,22.82,0.2713,2.526
P010,SUS+MW,40005,2060.5,22.82,0.2713,2.487
P010,SUS+EDF,40005,2055.0,22.76,0.2723,2.595
P010,SU+CQI,40005,2077.8,22.94,0.2678,1.0
P010,SU+Deadline-PF,40005,2061.8,22.86,0.2698,1.0
P010,SU+PF,40005,2051.2,22.82,0.2708,1.0
P010,SU+Random,40005,2052.1,22.73,0.2723,1.0
P010,SU+MW,40005,2047.9,22.8,0.2728,1.0
P010,SU+EDF,40005,2124.9,22.61,0.2723,1.0
P010,SUS+Deadline-PF,40006,2372.0,21.65,0.1912,2.548
P010,SUS+PF,40006,2376.5,21.67,0.19,2.546
P010,SUS+Random,40006,2351.7,21.61,0.193,2.615
P010,SUS+MW,40006,2403.2,21.83,0.1858,2.547
P010,SUS+EDF,40006,2344.3,21.51,0.1977,2.713
P010,SU+CQI,40006,2544.3,22.47,0.1608,1.0
P010,SU+Deadline-PF,40006,2477.0,22.05,0.1733,1.0
P010,SU+PF,40006,2469.6,22.02,0.1733,1.0
P010,SU+Random,40006,2389.0,21.69,0.1858,1.0
P010,SU+MW,40006,2459.0,22.08,0.1787,1.0
P010,SU+EDF,40006,2303.3,20.73,0.2239,1.0
