update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
47,7431.399843276488,64.5112187037548,0.8552859618717504,0.1425476603119584,0.0012998266897746968,0,12.126755201153802,0.8551758498740207,0.9286551067922363,4616,21,15.34127912270861,2.5148374529232393,2.707193515704154,6.0,10.047,0.0
48,5669.565654321052,76.43289457922423,0.6569270239452679,0.33808437856328394,0.0011402508551881414,0,15.096020211835047,0.8405903344866954,0.7471777998657206,7016,32,15.496539874975825,2.8205761450083546,2.7576480798437837,7.0,22.274,0.0
49,5684.793526626841,53.19930980183164,0.8184568835098336,0.18078668683812404,0.0,0,16.77960014885187,0.8617509522959949,0.8706426515682445,3966,18,17.974376919025122,1.8566988073285557,2.0646950092421443,5.0,7.744,0.0
50,7068.232562112811,77.24850502041411,0.7268201617921594,0.2686683260734288,0.0010889856876166771,0,16.71658296714149,0.8403231727890408,0.8224932546735035,6428,29,17.416868185057357,2.8194331037723126,2.7733304794520546,7.0,18.164,0.0
51,5412.144254814655,67.96936699355031,0.6880519913347776,0.309615064155974,0.0003332777870354941,0,18.65470055361412,0.8472355549078833,0.7335128676256067,6001,27,18.126156261453602,2.2660778642262893,2.208525066602083,5.0,16.604,0.0
52,3615.172160448532,45.0209736655998,0.6843447220805712,0.31310555838857723,0.00025497195308516065,0,14.988144994183505,0.8560143343666315,0.809354750970744,3922,18,17.168475608809793,2.25778047510337,2.7667660208643814,7.0,12.051,0.0
53,5557.360873171019,61.66690904642039,0.7258597241111328,0.2694773654556052,0.0015543034777540316,0,15.690108551422268,0.8512125078278975,0.8185031224546767,5147,23,16.54850705741168,2.3962823855956534,2.563169164882227,7.0,14.163,0.0
54,6732.38191356976,62.25152460859585,0.8204134366925064,0.17635658914728683,0.0006459948320413437,0,14.740433706154523,0.8646552030620184,0.8732316750498245,4644,21,17.961142206813037,2.173516466938354,2.2818897637795277,5.0,9.747,0.0
55,1580.241080014334,40.742379662027055,0.5583545181418997,0.4388721978275942,0.0,0,16.312598613833224,0.8641447809363109,0.6117175606785668,4327,20,14.652269433497136,1.5626409500017613,1.5985099337748345,3.0,13.732,0.0
56,4985.939947295994,63.03283343922222,0.6791820906046183,0.3160585228274282,0.0017627357659086903,0,12.156780084403643,0.8777456140636896,0.7554118313331967,5673,26,18.34309053239217,2.5231434467690255,2.556968595899299,6.0,16.874,0.0
57,3390.9927785356745,50.927792056836765,0.6381187102074348,0.3577736701581434,0.00041076196344218524,0,10.927888139405573,0.869803399549708,0.6888522687614705,4869,22,16.172640727372343,2.116207363887737,2.3031863533955583,5.0,15.12,0.0
58,6234.530247064489,72.63034627569718,0.7142403051493961,0.28210425937698663,0.0,0,13.230139229134647,0.8637914094715738,0.7436278012036263,6292,29,17.55655182699155,2.250709721382217,2.2047174009790833,4.0,16.799,0.0
59,4027.1931985615915,51.24593637900673,0.6841650464463167,0.31324260099373513,0.0,0,12.332976969234275,0.8664425045652969,0.7458715158803768,4629,21,15.801764559394861,2.0550988754493895,2.183770129460057,5.0,12.718,0.0
60,3050.897323735429,61.6510093011784,0.5878209142141515,0.4077958672510958,0.00015654351909830932,0,11.769147296204697,0.8621368974639234,0.6253316028621222,6388,29,16.815085662410223,2.1659875958810932,2.0870838881491345,4.0,20.774,0.0
61,5872.650112028704,60.90495472363315,0.7613399916770703,0.23595505617977527,0.0012484394506866417,0,20.21641664056631,0.871165700549202,0.845687808237469,4806,22,17.873645092930936,2.1373453852747915,2.000819896146488,5.0,10.688,0.0
62,4470.191169040498,65.55724756952958,0.6456380104878436,0.34991260130303514,0.001430160495788972,0,10.270490576310793,0.8714875084614299,0.6803307565797926,6293,29,15.81600946495567,2.3985452592126997,2.5584543440807286,6.0,19.986,0.0
63,2847.2950824996906,52.050467213796665,0.6040357890729107,0.3923472301541976,0.0,0,14.237845941709539,0.8741235047477619,0.648706438190001,5253,24,16.449734746980546,2.0268272529331424,2.2288055468011345,5.0,16.877,0.0
64,2434.0560298270216,43.96869181556001,0.596074851665906,0.39867640346873573,0.001597444089456869,0,11.234058334186987,0.8669439067951344,0.6963416505898381,4382,20,18.553915422124668,2.296619224646466,2.599157733537519,7.0,15.036,0.0
65,5021.903333959755,68.86572798792996,0.6566312787196957,0.3394073839328157,0.00031690698779908097,0,13.906614226707784,0.8612027556433312,0.7307674647587157,6311,29,18.226784505544163,2.4295130018869306,2.325772200772201,6.0,18.813,0.0
66,7268.411149736514,83.05105223847812,0.7168750878179008,0.28003372207390753,0.00042152592384431644,0,15.692586260075652,0.8629472169547715,0.765730560654623,7117,32,16.206926388733493,2.616626069257075,2.3604468835750687,5.0,19.433,0.0
67,5781.457533968022,70.25845711656923,0.6955958549222798,0.3008419689119171,0.0012953367875647669,0,9.7508398733057,0.8540223628119592,0.7583947784106474,6176,28,15.98805725111881,2.603663334072131,2.59683426443203,6.0,18.371,0.0
68,7432.519267408491,64.99037051214911,0.8573886857388686,0.1408905140890514,0.00021510002151000216,0,17.626311976837485,0.8664922088609599,0.9010227861280256,4649,21,16.162337885901067,2.126332801846592,2.1196688409433015,5.0,8.239,0.0
69,5387.886830782603,61.05835984742527,0.7131619339984651,0.2806983883346124,0.0024942440521872602,0,14.307855364271457,0.8586380868098286,0.8094930161332843,5212,24,17.33920657184641,2.6151792747345435,2.706483723432876,7.0,15.029,0.0
70,5648.507399869358,68.73387076043905,0.6877286331892252,0.3097771865646824,0.0004988360492184902,0,11.778543999909257,0.8485452755110584,0.7721795803311505,6014,27,16.25431683866677,2.8186503824198437,2.8957930367504834,7.0,18.835,0.0
71,5843.25037088383,66.21775611095813,0.7098095068541926,0.2818230372084743,0.005875022253872174,0,11.602731321436561,0.8523493977052369,0.8195368158393671,5617,26,18.629104191741256,2.843348494030384,2.943315776272887,7.0,17.07,0.0
72,6144.627219283422,53.26548358288555,0.8572574178027266,0.13980219192729218,0.0005346164127238706,0,16.45400359232285,0.8436869435749461,0.9448300038009134,3741,17,17.759365466093236,2.357454785497639,2.7605238540692234,7.0,8.265,0.0
73,4831.372912419477,68.66214273249838,0.6488668115492083,0.34740763737969577,0.001552312946289972,0,14.450643518625064,0.8513691593195921,0.7281462038407485,6442,29,18.676870891132527,2.5565515732404456,2.54066985645933,6.0,20.383,0.0
74,4148.139769390548,43.70109718666178,0.753041018387553,0.24497878359264497,0.0002828854314002829,0,15.349165731975734,0.8450045308058999,0.8263389939391791,3535,16,15.087164313445072,1.9542976200067406,2.282870022539444,6.0,8.745,0.0
