update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth
113,11517.738618683095,91.44170193681124,0.9389515593895156,0.060218978102189784,0.0,0,18.558226588941285,1.0,0.834693841588929,6028,22,18.033396332410202,2.6975397104803522
114,8570.77324646794,74.17366405448665,0.8691198786039454,0.12955235204855842,0.0,0,12.497175501956557,1.0,0.7123027073121452,5272,22,17.01858028738726,2.567512923233414
115,9290.072622551206,75.38426488523004,0.918415375563836,0.07942733869386154,0.00019611688566385565,0,18.428665330312715,1.0,0.7863412587120935,5099,20,19.347432221257748,2.713159058839178
116,10215.311842431263,87.85398067821613,0.8732349165596919,0.1256418485237484,0.0,0,17.917152381314075,1.0,0.722987964058755,6232,26,15.832511222312812,2.902101971856094
117,10122.984809653237,84.2161696553572,0.8993775933609959,0.09889349930843706,0.0005186721991701245,0,15.569051036765433,1.0,0.7684489919721433,5784,23,18.422038717038358,2.7677803859517254
118,10555.42815663454,94.3884812619587,0.8483071962479848,0.1494943573208266,0.0002931261908251502,0,17.464309855073484,1.0,0.6731513720067082,6823,29,17.25694853194491,3.0087793496497124
119,9217.71832734138,77.68374744718813,0.8930924148315452,0.10577827969132317,0.0,0,16.664525660049012,1.0,0.7426286514176246,5313,20,19.101198576042236,2.3323922347925756
120,11735.259728188612,95.77084787459314,0.9130501930501931,0.08494208494208494,0.0006177606177606178,0,14.064286208023438,1.0,0.802965448364961,6475,26,16.893804263568462,3.204089135374061
121,8860.420170432653,74.60115773033701,0.8932562620423892,0.10597302504816955,0.0,0,13.153864274587422,1.0,0.7549117126259113,5190,20,14.65948047958156,2.1492617955862405
122,12308.39652745122,102.73612472843885,0.8956656783848652,0.10136947621064521,0.0008470986869970351,0,19.108060812343265,1.0,0.7531042591126926,7083,28,17.230115404741156,2.987377546031607
