scheduler,seed,reward,thr_mbps,sinr_db,comp,miss,retx_drop,total_fail,depth,jain,jain_allk
SUS+Rnd,10002,7470.574233666431,73.73873213381054,6.911275967894647,0.7703874049177428,0.18786485052184682,0.038209800106138336,0.22607465062798515,3.994344231208112,0.7564491320037902,0.7091710612535531
SU+CQI,10002,7590.791949959171,83.10667458262081,20.784145502453413,0.7463500958560684,0.252322666273411,0.0,0.252322666273411,1.0,0.5130053801182975,0.480942543860904
SU+DPF,10002,6484.690170749574,62.995055818373615,19.13311342286687,0.7763819095477387,0.22047738693467336,0.0,0.22047738693467336,1.0,0.7471444830052505,0.7004479528174224
SU+PF,10002,5139.269005493427,67.31912086786464,19.515950106504178,0.6781255654061878,0.3187986249321513,0.0,0.3187986249321513,1.0,0.7313645955698809,0.6856543083467636
SU+Rnd,10002,2530.142990443155,50.51118129896404,17.142303140466666,0.5708003518029904,0.4245822339489886,0.0,0.4245822339489886,1.0,0.7786655422494104,0.7299989458588223
PPO,10002,11408.686598407108,99.09806017266712,12.373431184059278,0.8660462492949803,0.13155668358714043,0.0001410039481105471,0.13169768753525096,2.560729893673989,0.7203632399712886,0.6753405374730826
SUS+CQI,10003,8388.819017404292,78.4628644981627,7.4090616810556975,0.8109660574412533,0.1650130548302872,0.021583986074847693,0.18659704090513488,3.976909180609672,0.7128879255101307,0.6014991871491729
SUS+DPF,10003,7506.872025111758,72.69004840066982,7.282189611726166,0.7867552112156428,0.18871057000553404,0.02305847629588637,0.2117690463014204,3.987394055394905,0.6998765119238426,0.5905208069357426
SUS+PF,10003,7707.851200661909,75.06549074761367,7.458197696644805,0.7897003409294814,0.18212811771038936,0.026018302530055624,0.208146420240445,3.9834671333177853,0.7036071442540166,0.593668527964326
SUS+Rnd,10003,5683.413632102675,63.15684775080091,6.85802739841745,0.7160126833135156,0.24435196195005945,0.0356718192627824,0.2800237812128419,3.993837315175207,0.6849889187338728,0.5779594001817052
SU+CQI,10003,7613.911477983319,79.76236852275426,22.525110961603318,0.7661150512214342,0.23215130023640662,0.0,0.23215130023640662,1.0,0.524183021975711,0.4422794247920059
