scheduler,seed,reward,thr_mbps,comp,drop,depth
SU-Deadline-PF,10007,7079.727607194003,59.51450692194628,0.889763779527559,0.0,1.0
SU-PF,10007,6673.600955857639,60.45299098451238,0.8483848149021457,0.0,1.0
SU-Random,10007,4261.0396343218035,44.46898580959834,0.7659969088098918,0.0,1.0
SUS-Deadline-PF@0.8,10008,5388.067088650379,60.10951525276534,0.718781933374208,0.0639689352135704,3.974607181676059
SUS+PF@0.8,10008,5453.589145827085,61.19144045972152,0.7194143602085841,0.0645808263136783,3.974041984803676
SUS-Random@0.8,10008,4653.730075588155,55.291425389182876,0.6929692539238873,0.0694474306600731,3.983597546625904
SU-Deadline-PF,10008,4985.788091684772,55.69836764293244,0.7247767857142857,0.0,1.0
SU-PF,10008,4541.908583792536,58.8728510461427,0.6832754747804779,0.0,1.0
SU-Random,10008,1532.9355473502355,39.590389210912,0.5392259414225942,0.0,1.0
SUS-Deadline-PF@0.8,10009,10243.060142144215,90.57327637727924,0.8419185687847008,0.025601480567550895,3.968085189688543
SUS+PF@0.8,10009,10191.95754089607,91.38137393266726,0.8361427486712225,0.025816249050873197,3.9615779608233432
SUS-Random@0.8,10009,8480.61032854386,81.25977265702012,0.7911852096401453,0.03697589963684384,3.9852134910334316
SU-Deadline-PF,10009,6910.35697864078,67.803627520393,0.7734496124031007,0.0,1.0
SU-PF,10009,6056.5554756679185,73.27735862052302,0.7057820228551935,0.0,1.0
SU-Random,10009,2941.6959627229303,52.89638771994998,0.5911403136922425,0.0,1.0
SUS-Deadline-PF@0.8,10010,3461.6197199892435,39.13406657459349,0.7152380952380952,0.05650793650793651,3.855985839300594
SUS+PF@0.8,10010,3593.2004407829463,40.41996314549312,0.7182014166923314,0.06282722513089005,3.863266033083117
SUS-Random@0.8,10010,3188.653999633515,38.182175932796845,0.6945419725502713,0.06702840727736993,3.8885256914719037
SU-Deadline-PF,10010,4548.765717595203,47.04469891808685,0.7709859154929577,0.0,1.0
SU-PF,10010,4491.879999983017,47.688134404738534,0.7639118457300276,0.0,1.0
SU-Random,10010,2056.8272106586073,31.98941282532302,0.6270328876039032,0.0,1.0
SUS-Deadline-PF@0.8,10011,8547.377638934558,74.4559154832529,0.8568981921979067,0.04319695528068506,3.8502486920773604
SUS+PF@0.8,10011,8466.691294382594,73.98458044433843,0.8577204466692337,0.04389680400462072,3.8536123406708125
SUS-Random@0.8,10011,8029.156229631674,71.04580320822207,0.8441507200631289,0.05306766620635234,3.8968077239773966
SU-Deadline-PF,10011,7661.736419733167,67.3097213459505,0.8551273952411034,0.0,1.0
SU-PF,10011,7199.182549521489,70.40715320757947,0.8023615950445219,0.0,1.0
SU-Random,10011,4238.0300200474085,50.116127859876386,0.7076689445709947,0.0,1.0
SUS-Deadline-PF@0.8,10012,4548.238496710375,46.58931467527547,0.7713347921225383,0.039934354485776806,3.8727404257121596
SUS+PF@0.8,10012,4579.58625350113,47.014442748541576,0.771041948579161,0.04248985115020298,3.875307659745776
SUS-Random@0.8,10012,4104.348950405209,43.493082304520925,0.7531285551763367,0.05233219567690557,3.8946146582083636
SU-Deadline-PF,10012,5331.2667187629795,52.00011439870189,0.7998991935483871,0.0,1.0
SU-PF,10012,5352.872886945594,53.14602575347751,0.7924112607099143,0.0,1.0
SU-Random,10012,2846.0903603369297,36.35234660473612,0.6825652594263616,0.0003222687721559781,1.0
SUS-Deadline-PF@0.8,10013,10069.556198923952,89.5459509561909,0.8419071518193224,0.01019447929736512,3.9803182673187547
SUS+PF@0.8,10013,9961.191673720743,89.99422270749591,0.835820895522388,0.011194029850746268,3.974600844566917
SUS-Random@0.8,10013,8423.853905594748,79.25810948718501,0.8041766518315645,0.013522766175967135,3.989833775852056
SU-Deadline-PF,10013,6928.577473835824,67.46321290898403,0.7815092848676413,0.0,1.0
SU-PF,10013,6037.845653150108,71.45322625251085,0.7140108448486969,0.0,1.0
SU-Random,10013,3124.586801597698,53.492934250116306,0.6036856598178352,0.0,1.0
SUS-Deadline-PF@0.8,10014,8110.776433273379,77.26140945665247,0.7986565621770582,0.04839820874956941,3.9827014916068353
SUS+PF@0.8,10014,8019.590411284582,77.34871048143988,0.7930917134592479,0.05632125233962906,3.984538230164225
SUS-Random@0.8,10014,6653.957081701892,68.33308564779101,0.7580191333708497,0.059838679422247236,3.991934580975487
SU-Deadline-PF,10014,7003.4315095997135,67.47367025459101,0.792438121223933,0.0,1.0
SU-PF,10014,6477.574712382405,71.44156075007615,0.741565094506271,0.0,1.0
SU-Random,10014,3226.2917361413965,50.17872240023916,0.6262287756925826,0.0,1.0
SUS-Deadline-PF@0.8,10015,8713.921208103062,80.72287926776637,0.8144466534128562,0.04721669980119284,3.970880887187639
SUS+PF@0.8,10015,8701.951423280649,81.5779342298453,0.8101099622517643,0.045954373871656,3.970376455785771
