scheduler,seed,reward,thr_mbps,sinr_db,comp,miss,retx_drop,total_fail,depth,jain,jain_allk
SU+DPF,10003,5650.6600285595205,59.410951867045966,21.583832415988592,0.742296918767507,0.25296272355095883,0.0,0.25296272355095883,1.0,0.6753427822721899,0.5698204725421606
SU+PF,10003,5104.457974090496,63.945132070783885,21.910662441049947,0.6935607512456881,0.3035645841318513,0.0,0.3035645841318513,1.0,0.6597397267386668,0.5566553944357503
SU+Rnd,10003,2079.2955777515235,45.79207146408681,19.672841810440524,0.5554493307839388,0.44120458891013387,0.0,0.44120458891013387,1.0,0.7195790236807954,0.607144801230671
PPO,10003,9352.992437970563,84.02359809981213,13.5563696474583,0.8395510591210876,0.15807777426493835,0.0009484666455896301,0.15902624091052797,2.4578526469279445,0.6735906008260233,0.5683420694469572
SUS+CQI,10004,12768.598481730962,107.30146584070283,11.088317080631214,0.8864194164166894,0.10253613307881101,0.009680938096536678,0.1122170711753477,3.966464186053723,0.7998268180619591,0.7998268180619591
SUS+DPF,10004,12552.801631582304,105.47515536102911,11.084427410466153,0.8829772378159475,0.10040497137271331,0.014523111297304846,0.11492808267001817,3.973586578250498,0.8018162324977575,0.8018162324977575
SUS+PF,10004,12480.02729940029,106.14579273943244,11.101035445602513,0.8752063841496973,0.10553109521188772,0.016648321408915794,0.12217941662080352,3.978257739808687,0.8018774719204177,0.8018774719204177
SUS+Rnd,10004,9910.024801711128,89.84826627840611,10.27128501685217,0.8192771084337349,0.15801668211306766,0.020080321285140562,0.17809700339820822,3.993392642060179,0.799091077100201,0.799091077100201
SU+CQI,10004,9348.24642474289,95.79176462134667,26.77106151047155,0.7757193535672053,0.2232295361976087,0.0,0.2232295361976087,1.0,0.5329889175648822,0.5329889175648822
SU+DPF,10004,7826.681656649008,73.2647098794086,25.248185104319354,0.7971846638266346,0.2007779218373773,0.0,0.2007779218373773,1.0,0.751359114226378,0.751359114226378
SU+PF,10004,6530.613327386139,79.16167782714788,25.70214313525987,0.70416467209191,0.292644008297431,0.0,0.292644008297431,1.0,0.7268735643626467,0.7268735643626467
