update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
35,9312.138590281014,77.12731979367337,0.9098943323727186,0.0893371757925072,0.0,0,14.962071654405062,1.0,0.9474086833110076,5205,20,22.119890505140166,3.309637031556666,1.225929054054054,2.0,3.995,0.0,0.2626015840651657,0.9998964535335232,1.000051775913845,5.1770552909505074e-05,75.700436,2307,2308,0.9995667244367418,4041,4042,0.999752597723899,4374,4374,1.0,8591,8591,1.0
36,8941.606579837211,96.54854754345482,0.7512450517175329,0.2468394841016473,0.0,0,13.550162236528347,1.0,0.8030752448851626,7831,21,22.28538380691881,3.490934530282154,1.47628760836308,4.0,14.938,0.0,0.37368847507517944,0.9998770894788593,1.0001229105211407,0.00012289541600098315,94.133226,849,850,0.9988235294117647,3245,3245,1.0,5379,5379,1.0,14932,14934,0.9998660774072586
37,9377.361092318435,81.70388947286374,0.8683478260869565,0.1302608695652174,0.0,0,13.30681072619518,1.0,0.9379633655883394,5750,28,22.90833374384809,3.7231633456160718,1.807931103544963,6.0,8.064,0.0,0.2051834928470918,0.9998894416804864,1.0001105583195136,0.00011054609772275039,78.93391,461,461,1.0,1906,1906,1.0,4669,4670,0.9997858672376874,20096,20098,0.9999004876107075
38,12062.142428319636,144.01399705199634,0.7110660721524118,0.28747466558573165,0.0,0,19.44534719132641,1.0,0.7733630756784129,12335,32,21.036287259188146,3.9029642604287096,1.8239653403260745,6.0,29.106,8.106355382619974e-05,0.38955279056872893,0.9998704537357904,1.000097162844928,9.715025906735751e-05,138.965134,58,58,1.0,372,372,1.0,1722,1722,1.0,28721,28725,0.9998607484769365
39,7057.448761850574,63.26159763454006,0.8520487264673311,0.14662236987818383,0.0,0,16.404153419701466,1.0,0.9131496934086828,4515,19,23.77221513254817,3.2468288613385026,1.5617364179880426,4.0,6.125,0.0,0.23563151776795768,0.9998060888113244,1.0001939111886755,0.00019387359441644047,61.40535,1730,1730,1.0,4210,4210,1.0,5624,5627,0.9994668562288964,9060,9061,0.9998896369054189
40,6441.888732421204,108.04318622372307,0.622107969151671,0.374654860516043,0.0,0,15.861014111285005,1.0,0.6841872793994987,10503,22,22.046845005141137,3.5759077124386422,1.6516681971227425,6.0,28.716,0.00019038553069966683,0.47349878819362656,0.999924179240276,1.000075820759724,7.581501137225171e-05,103.81679,422,422,1.0,2466,2466,1.0,5663,5664,0.9998234463276836,17825,17826,0.9999439021653764
41,11374.951540158685,128.40897069711025,0.7328066914498141,0.2650557620817844,0.0,0,22.063099666609496,1.0,0.7698669653107308,10760,25,22.463676391820357,3.5370260305772963,1.4776157260621434,4.0,21.709,0.000278732695345164,0.43374709211504925,0.9998416782109638,1.0001583217890362,0.00015829672721516484,125.996432,751,751,1.0,2809,2810,0.999644128113879,5002,5003,0.9998001199280432,16699,16701,0.9998802466918149
42,7580.254998772479,77.5934578935879,0.7742561448900388,0.22428848641655885,0.0,0,10.745707290004107,1.0,0.8281285791187148,6184,28,23.52369830912483,3.390045520462163,1.6244778613199666,5.0,11.446,0.0,0.2248964055525123,0.9999127704117237,1.0000872295882763,8.722197993894462e-05,75.60308,1148,1148,1.0,3634,3634,1.0,5974,5975,0.9998326359832636,12170,12171,0.9999178374825405
43,7893.458713987991,69.60824127810777,0.8589974036349112,0.1390053924505692,0.0,0,9.87450539410615,1.0,0.8892029111773057,5007,22,21.714223716860328,3.1543216005379207,1.4775633573587539,4.0,6.234,0.0,0.2257130890628954,0.9999006655408761,1.0000993344591238,9.932459276916965e-05,68.51448,2049,2049,1.0,3918,3918,1.0,5394,5395,0.9998146431881372,8771,8772,0.9998860009119928
44,9322.50092451915,95.96125383417852,0.7718452923557755,0.22607110300820418,0.0,0,14.997219502657002,1.0,0.8023107769280878,7679,30,22.171605183707747,3.399257456524816,1.4977222878353298,4.0,13.994,0.0,0.2554038279866522,1.0,1.0,0.0,94.461212,1240,1240,1.0,3660,3660,1.0,5418,5418,1.0,12496,12496,1.0
