world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
global,SUS+PF,10001,4970.457524199585,84.13357811883878,0.6149269176044496,0.3815806493338507,0.0,3.996193420226057,0.7677406864653828,0.9857886055069154,1.0131859053792138,0.013271566295229749,75.198318,0,2,147,30927,0,2,148,31374
global,SUS+PF,10002,5226.076157928227,72.22105613673567,0.6632157877709479,0.33338725331607894,0.0,3.9943004318074604,0.8314216383720143,0.978888782266577,1.0209313490158425,0.020521335923303467,64.550354,0,12,203,30388,0,12,207,31044
global,SUS+PF,10003,1300.9251202727482,77.59333557541136,0.4921545667447307,0.502927400468384,0.0,3.999246777743945,0.7038993987738984,0.9828095707158971,1.016508683758509,0.016254571598262012,66.2343,0,2,21,30907,0,2,21,31448
global,SUS+PF,10004,4443.170583477042,105.03115189417777,0.5592810899603826,0.43675717460624214,0.0,3.999574826487736,0.7980968130660384,0.9698948248689331,1.0290658331453615,0.02822404200787648,90.357446,0,2,12,30141,0,2,12,31077
global,SUS+PF,10005,4003.561578679652,41.11264640210258,0.779149074374797,0.21890224098733355,0.0,3.7639357512695133,0.8890260534919432,0.9880617721149283,1.0118312945042907,0.011690420349990979,38.133096,156,1757,6080,19071,156,1757,6101,19377
global,SUS+PF,10006,2350.7871049076252,44.13384406450411,0.5994222436206067,0.39768897448242657,0.00024073182474723158,3.9262034134450627,0.7231608333129623,0.981520591341077,1.0181109128164452,0.018175927425886928,39.989568,4,226,2579,26935,4,229,2619,27452
global,SUS+PF,10007,5465.277571977936,69.65672667567155,0.6878172588832487,0.31082910321489,0.0,3.9349137954541837,0.819269018153378,0.9743885176284689,1.0246628639256157,0.024032128514056224,64.054566,4,196,1932,27467,4,199,1961,28213
global,SUS+Random,10000,936.8140306574488,67.91162828971505,0.49385502884374216,0.5015048908954101,0.0,3.915623908828382,0.5765995978911347,0.9700323795678318,1.0271229152160217,0.026754132098527235,62.592394,1,12,2533,26813,1,12,2589,27664
global,SUS+Random,10001,3583.4135073638736,79.1136862599571,0.5664209028586211,0.42931056784374594,0.0,3.9991108201690886,0.7356460373391126,0.9808449809402795,1.016131089007906,0.01597324247444594,68.835532,0,0,26,30851,0,0,27,31453
global,SUS+Random,10002,3656.990512471716,67.27016927359855,0.5930119702361695,0.40294403105791005,0.0,3.998619128175043,0.8053066315312561,0.9769597034480555,1.021991037131882,0.021512773209092898,57.176902,0,6,38,30528,0,6,38,31249
global,SUS+Random,10003,-351.6757047835156,71.76171942857621,0.4408665105386417,0.5537470725995316,0.0,3.9998596208926176,0.6618738040190277,0.9760414004600051,1.022100509272605,0.02168885555347209,58.954446,0,0,6,30548,0,0,6,31298
global,SUS+Random,10004,1316.197339220153,94.91337174435053,0.4766644120204851,0.5184075756111701,0.0,4.0,0.7493263755450725,0.9634067566694658,1.0335927367055773,0.0324375,76.366018,0,0,0,29829,0,0,0,30962
global,SUS+Random,10005,3852.856031096214,40.72044035430912,0.7645339395907762,0.23351737577135434,0.0,3.821351400319854,0.8847154564352113,0.9883352128559346,1.0114217224239432,0.011289198606271778,37.374958,135,1284,4711,21915,135,1285,4723,22233
global,SUS+Random,10006,2185.457473313056,43.31747713309641,0.5895522388059702,0.4075589792970631,0.00024073182474723158,3.9458603691485643,0.7070818725322168,0.9809387035707292,1.0184440302168154,0.018547586251081143,39.344536,3,160,1776,28115,3,162,1801,28672
global,SUS+Random,10007,4664.261582646551,66.77423013676567,0.6504230118443316,0.3473773265651438,0.0,3.9661793043989833,0.8006891186520156,0.9731574158325751,1.02584719554673,0.025215408008109477,60.445982,0,82,996,28868,1,82,1018,29671
global,SUS+MW,10000,2734.9077302281526,74.68256697046195,0.554426887383998,0.4423125156759468,0.0,3.996064741929787,0.6024373030988178,0.9686714368594083,1.0297292057131777,0.029102515959444235,70.625174,0,14,88,29952,0,14,89,30923
global,SUS+MW,10001,6230.2036187129925,88.46511381421452,0.6570948130901565,0.34005950071142155,0.0001293493726555426,3.9945347685723185,0.7680765508164992,0.9825655383049122,1.016374641605607,0.016366765764356125,80.970736,0,2,127,30755,0,2,129,31301
global,SUS+MW,10002,5987.5131978981735,75.81443654507491,0.6910384988676803,0.3054027822711097,0.0,3.991866809458957,0.8257980716346526,0.9751684311838306,1.0244364523794234,0.023893777596843392,68.048204,0,5,178,30213,0,5,183,30982
global,SUS+MW,10003,3301.4355424940713,84.73073984658706,0.55,0.4453161592505855,0.0,3.993025781845872,0.7042565077458596,0.9715341365461847,1.0276454685890835,0.027009284441526775,74.955394,0,2,25,30212,0,2,25,31098
global,SUS+MW,10004,5583.048879369402,108.85883438960055,0.5858537056720456,0.4103778142815731,0.0,3.9999271431488768,0.7744965643243681,0.9629929156018504,1.035225429776192,0.03393856058001812,96.518744,0,0,3,29766,0,0,3,30910
global,SUS+MW,10005,4024.0837734606243,41.29265749354156,0.78044819746671,0.21825267944137708,0.0,3.774031334222581,0.889729715956956,0.9873302838887679,1.0124913758669523,0.012334169953388312,38.223074,137,1707,5824,19529,137,1708,5848,19853
global,SUS+MW,10006,2611.5491720445075,45.154276679086564,0.6141068849301877,0.38300433317284543,0.00024073182474723158,3.9191816371884762,0.7372398141885033,0.9855148801685542,1.014134624888801,0.014150331039854603,41.02098,8,237,2721,26970,8,238,2746,27384
global,SUS+MW,10007,6443.950674838088,72.73205348796155,0.7321489001692048,0.26666666666666666,0.0,3.907200566921977,0.8071024854459757,0.9704912572855954,1.0292087626287887,0.02838004012685263,68.522284,4,262,2334,26539,5,265,2374,27381
global,SUS+EDF,10000,-3211.776988919942,49.56527643162557,0.34399297717582145,0.6491096062202157,0.0,3.927312307239937,0.5970772507297805,0.973820118881346,1.0130712498353747,0.012952454233593024,42.898366,1,12,2320,27648,1,12,2358,28416
global,SUS+EDF,10001,1132.6987774355266,67.12791285471106,0.46203595912559825,0.5318846203595913,0.0,3.999934860729777,0.7693289261410853,0.9823837136014119,1.0080827366746221,0.008344010750335949,55.815438,0,0,3,31170,0,0,3,31729
global,SUS+EDF,10002,1882.680965477698,58.32035667969601,0.4928825622775801,0.5012940795858946,0.0,3.9992022162686895,0.8218723605452234,0.9789687064487521,1.0131894101491394,0.013035731032542436,47.078328,0,6,15,30887,0,6,15,31551
global,SUS+EDF,10003,-3620.3419286781887,57.45958080304134,0.32201405152224827,0.6708430913348946,0.0,3.9996083175105306,0.7108922881821945,0.9783906738697754,1.0107963075350561,0.010689170182841068,42.815388,0,0,15,30954,0,0,15,31638
global,SUS+EDF,10004,-2944.9615508837155,75.05945968339334,0.3496956227654846,0.6434438109962315,0.0,4.0,0.8224256579750426,0.9700193117421724,1.0131121134020618,0.01290625,55.655526,0,0,0,30640,0,0,0,31587
