p_arrival,seed,n_active,sched,reward,throughput_mbps,completion_rate,deadline_miss_rate,buffer_overflow_rate,mu_depth,mean_delay,mean_qlen,jain
0.22,10005,19,SU+CQI,5245.7,53.97,0.7721,0.2258,0.0,1.0,1.533,8.005,0.8263
0.33,10005,19,PPO-Mixed,6932.5,75.77,0.7342,0.2633,0.0,2.294,2.364,16.583,0.7844
0.33,10005,19,SUS+CQI,5387.7,70.13,0.6556,0.3284,0.0,3.959,3.206,21.426,0.7932
0.33,10005,19,SUS+MW,5373.9,70.15,0.6543,0.3304,0.0,3.963,3.184,21.367,0.7915
0.33,10005,19,SU+CQI,5753.2,72.3,0.693,0.305,0.0,1.0,1.672,15.223,0.7388
0.45,10005,19,PPO-Mixed,7538.3,94.49,0.6801,0.3165,0.0,2.515,2.837,26.536,0.7497
0.45,10005,19,SUS+CQI,5130.7,85.31,0.5954,0.3912,0.0,3.987,3.576,32.377,0.7495
0.45,10005,19,SUS+MW,4994.5,84.79,0.5902,0.3969,0.0,3.989,3.68,32.966,0.7468
0.45,10005,19,SU+CQI,4471.5,84.57,0.6006,0.3965,0.0,1.0,1.838,25.439,0.6673
0.5,10005,19,PPO-Mixed,7244.4,99.75,0.6502,0.3451,0.00063,2.547,3.031,31.604,0.7377
0.5,10005,19,SUS+CQI,4299.5,88.33,0.5574,0.4298,0.00063,3.988,3.787,38.304,0.7289
0.5,10005,19,SUS+MW,4330.0,88.22,0.5578,0.4306,0.00053,3.989,3.885,38.677,0.7291
0.5,10005,19,SU+CQI,3598.2,88.24,0.567,0.4292,0.00074,1.0,1.864,30.103,0.6423
0.1,10006,19,PPO-Mixed,2376.5,24.39,0.7692,0.2277,0.0,1.514,2.045,4.191,0.8164
0.1,10006,19,SUS+CQI,2053.6,23.5,0.7145,0.2463,0.0,3.227,2.608,5.136,0.812
0.1,10006,19,SUS+MW,2062.3,23.5,0.715,0.2437,0.0,3.236,2.629,5.185,0.8119
0.1,10006,19,SU+CQI,2516.5,25.06,0.7899,0.2086,0.0,1.0,1.692,3.477,0.8233
0.22,10006,19,PPO-Mixed,3318.5,45.74,0.661,0.3365,0.0,1.919,2.208,12.009,0.7353
0.22,10006,19,SUS+CQI,2692.4,43.55,0.6095,0.3493,0.0,3.892,2.771,13.949,0.7235
0.22,10006,19,SUS+MW,2688.0,43.44,0.6088,0.3481,0.0,3.9,2.752,13.939,0.7213
0.22,10006,19,SU+CQI,3216.4,46.29,0.6558,0.3421,0.0,1.0,1.65,10.645,0.7408
0.33,10006,19,PPO-Mixed,4036.1,64.81,0.6249,0.372,0.0,2.176,2.39,20.208,0.676
0.33,10006,19,SUS+CQI,3169.8,61.8,0.5763,0.3957,0.0,3.976,2.993,23.294,0.6809
0.33,10006,19,SUS+MW,3142.8,61.67,0.5746,0.3992,0.0,3.976,3.003,23.445,0.6797
0.33,10006,19,SU+CQI,3355.0,63.47,0.6016,0.396,0.0,1.0,1.52,17.962,0.6583
0.45,10006,19,PPO-Mixed,4115.9,81.39,0.5859,0.4104,0.00035,2.329,2.738,30.272,0.6432
0.45,10006,19,SUS+CQI,2647.7,75.65,0.5295,0.4525,0.00012,3.985,3.392,34.447,0.6487
0.45,10006,19,SUS+MW,2622.8,75.51,0.5282,0.4545,0.00012,3.989,3.419,34.642,0.6466
0.45,10006,19,SU+CQI,3063.7,78.65,0.5633,0.4338,0.00047,1.0,1.581,26.446,0.5988
0.5,10006,19,PPO-Mixed,3997.6,88.23,0.569,0.4269,0.00136,2.431,3.017,35.779,0.6348
0.5,10006,19,SUS+CQI,2042.3,80.62,0.5054,0.4787,0.00126,3.991,3.698,40.657,0.638
0.5,10006,19,SUS+MW,1916.8,80.04,0.5018,0.4837,0.00147,3.991,3.795,41.186,0.6371
0.5,10006,19,SU+CQI,2402.6,83.82,0.5374,0.4589,0.00147,1.0,1.739,31.653,0.5791
0.1,10007,17,PPO-Mixed,2949.6,25.02,0.8921,0.1067,0.0,1.518,2.007,2.483,0.9596
