seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10018,SUS+DPF,-5910.1637,72.6297,56.736,13.0507,0.3197,0.6739,0.0004,3.9998,0.6526
10018,SUS+PF,-6038.1368,74.9375,56.7648,13.2774,0.3215,0.6725,0.0005,3.9999,0.6432
10018,SUS+Rnd,-6510.2823,72.4049,55.2968,13.5822,0.3119,0.6827,0.0001,4.0,0.5922
10019,PPO,5881.5164,85.8014,84.16,12.9302,0.6515,0.3455,0.0001,2.8719,0.6989
10019,SU+CQI,2712.3403,74.8413,72.2154,31.5977,0.5551,0.4417,0.0,1.0,0.633
10019,SU+DPF,-416.0919,63.3986,55.5052,31.0293,0.4336,0.5616,0.0,1.0,0.7256
10019,SU+PF,-753.8466,65.2103,55.5139,31.273,0.4362,0.5593,0.0002,1.0,0.717
10019,SU+Rnd,-4801.1825,52.3675,37.3735,29.6042,0.3038,0.6913,0.0,1.0,0.7441
10019,SUS+CQI,5541.7208,86.9725,82.5165,10.5368,0.6344,0.3625,0.0001,3.9965,0.7081
10019,SUS+DPF,1410.463,74.3029,62.7862,10.7459,0.4911,0.5049,0.0001,3.9991,0.7263
10019,SUS+PF,1418.3344,75.0059,63.7733,10.5936,0.4978,0.4979,0.0002,3.9991,0.725
10019,SUS+Rnd,-64.5688,70.1008,56.6392,10.6412,0.4475,0.5484,0.0,3.9993,0.6935
