seed,n_active,mean_speed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,total_fail_rate,mu_depth,jain
10013,29,17.6,SUS+Random,8335.5,78.75,11.07,0.8006,0.1747,0.0216,0.1963,3.999,0.7546
10013,29,17.6,SU+CQI,9481.8,93.09,23.68,0.797,0.2016,0.0,0.2016,1.0,0.5645
10013,29,17.6,SU+Deadline-PF,7580.6,71.82,22.47,0.8036,0.1937,0.0,0.1937,1.0,0.7126
10013,29,17.6,SU+PF,6540.5,75.34,22.88,0.7255,0.2716,0.0,0.2716,1.0,0.6912
10013,29,17.6,SU+Random,4052.1,58.57,20.88,0.6445,0.3522,0.0,0.3522,1.0,0.7739
10014,27,18.4,PPO-L2b,11065.0,97.51,19.63,0.8612,0.1378,0.0,0.1378,1.666,0.6663
10014,27,18.4,SUS+CQI,9957.2,88.9,12.22,0.8417,0.1188,0.0378,0.1566,3.999,0.6992
10014,27,18.4,SUS+Deadline-PF,8756.8,81.72,12.28,0.8115,0.1378,0.0484,0.1862,4.0,0.674
10014,27,18.4,SUS+PF,8682.7,82.29,12.22,0.806,0.1412,0.0515,0.1927,4.0,0.6774
10014,27,18.4,SUS+Random,7153.7,71.8,11.58,0.7684,0.1725,0.056,0.2285,4.0,0.6779
10014,27,18.4,SU+CQI,9743.6,91.96,24.1,0.819,0.1796,0.0,0.1796,1.0,0.5963
10014,27,18.4,SU+Deadline-PF,7623.1,72.39,23.6,0.8077,0.1898,0.0,0.1898,1.0,0.6615
10014,27,18.4,SU+PF,7060.3,75.99,23.84,0.7546,0.2432,0.0,0.2432,1.0,0.6513
10014,27,18.4,SU+Random,4074.4,55.91,21.42,0.6614,0.3358,0.0,0.3358,1.0,0.7085
10015,28,16.4,PPO-L2b,11572.3,100.15,17.13,0.873,0.1261,0.0,0.1261,2.166,0.7034
10015,28,16.4,SUS+CQI,10617.4,92.45,11.2,0.8584,0.1054,0.0347,0.1401,3.997,0.739
10015,28,16.4,SUS+Deadline-PF,8522.0,79.13,11.32,0.8124,0.1297,0.0564,0.1861,3.998,0.6989
10015,28,16.4,SUS+PF,8317.4,80.27,11.31,0.794,0.1444,0.0595,0.2039,3.999,0.7015
10015,28,16.4,SUS+Random,7436.8,73.01,10.51,0.7786,0.1553,0.0633,0.2186,3.999,0.7292
10015,28,16.4,SU+CQI,8864.7,88.4,23.36,0.7892,0.2089,0.0,0.2089,1.0,0.5651
10015,28,16.4,SU+Deadline-PF,7429.0,68.82,22.47,0.8153,0.1819,0.0,0.1819,1.0,0.6973
10015,28,16.4,SU+PF,6324.2,72.08,22.7,0.7303,0.2687,0.0,0.2687,1.0,0.6871
10015,28,16.4,SU+Random,3841.3,54.95,20.49,0.6483,0.3478,0.0,0.3478,1.0,0.7405
10016,25,17.5,PPO-L2b,11755.7,97.92,24.55,0.8996,0.0996,0.0,0.0996,1.97,0.7485
10016,25,17.5,SUS+CQI,11362.6,94.11,17.9,0.8958,0.0748,0.028,0.1028,3.975,0.7903
10016,25,17.5,SUS+Deadline-PF,11047.9,92.29,17.74,0.8867,0.0731,0.0385,0.1116,3.979,0.7845
10016,25,17.5,SUS+PF,10956.0,92.63,18.11,0.8794,0.0821,0.0367,0.1189,3.98,0.7786
10016,25,17.5,SUS+Random,9728.6,83.64,17.62,0.8611,0.0934,0.0436,0.1371,3.989,0.7768
10016,25,17.5,SU+CQI,9976.4,91.44,30.03,0.8378,0.1607,0.0,0.1607,1.0,0.6346
10016,25,17.5,SU+Deadline-PF,9195.2,79.58,30.24,0.8685,0.1289,0.0,0.1289,1.0,0.7251
10016,25,17.5,SU+PF,8476.7,81.96,30.32,0.8113,0.187,0.0,0.187,1.0,0.7205
10016,25,17.5,SU+Random,5373.5,61.09,28.03,0.7266,0.2701,0.0,0.2701,1.0,0.8099
10017,17,16.1,PPO-L2b,8896.4,71.04,23.56,0.932,0.0667,0.0,0.0667,1.858,0.8133
10017,17,16.1,SUS+CQI,8262.5,66.28,16.89,0.9248,0.0531,0.0203,0.0734,3.735,0.8407
10017,17,16.1,SUS+Deadline-PF,8327.0,66.59,17.0,0.928,0.0461,0.0233,0.0694,3.706,0.8482
10017,17,16.1,SUS+PF,8106.8,65.18,16.99,0.9234,0.0506,0.0244,0.075,3.72,0.8508
10017,17,16.1,SUS+Random,7959.4,64.16,16.7,0.9201,0.0534,0.0253,0.0788,3.736,0.8326
10017,17,16.1,SU+CQI,8335.7,71.02,28.44,0.888,0.111,0.0,0.111,1.0,0.7411
10017,17,16.1,SU+Deadline-PF,8164.7,66.98,28.26,0.9143,0.0848,0.0,0.0848,1.0,0.7836
10017,17,16.1,SU+PF,7797.3,67.73,28.26,0.8781,0.1208,0.0,0.1208,1.0,0.7856
10017,17,16.1,SU+Random,5741.7,52.46,26.89,0.8433,0.1539,0.0,0.1539,1.0,0.845
10018,28,15.4,PPO-L2b,9556.4,88.47,21.32,0.8269,0.1713,0.0,0.1713,1.883,0.6166
10018,28,15.4,SUS+CQI,9198.6,83.85,14.47,0.8261,0.1521,0.0197,0.1718,3.998,0.7007
10018,28,15.4,SUS+Deadline-PF,7533.7,73.52,14.33,0.7801,0.1719,0.0458,0.2177,4.0,0.6756
