world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
betam,SUS+Deadline-PF,10002,4687.731124804859,69.96003147670851,0.6378194758977677,0.3582982853445487,0.0,3.997145977538457,0.8224628722199122,0.986268353788095,1.0135169437745908,0.013391320672069084,61.956788,0,6,99,30995,0,6,99,31428
betam,SUS+Deadline-PF,10003,546.6619734848465,73.90920849748701,0.46662763466042156,0.5282201405152225,0.0,3.999616637002351,0.6893662924687598,0.9888299886406664,1.009513875719072,0.009501187648456057,62.849704,0,0,12,31326,0,0,12,31680
betam,SUS+Deadline-PF,10004,3331.5792708479808,100.67810934085381,0.5254613972364479,0.47028698424968596,0.0,3.999924918119013,0.7828972243555999,0.9814920634920635,1.0157011369788846,0.015594237319916247,84.63357,0,0,3,30914,0,0,3,31497
betam,SUS+Deadline-PF,10005,3960.189828421972,40.917964574072016,0.7759012666450146,0.2224748294900942,0.0,3.781281432507698,0.8848379865285211,0.9910917156562196,1.0088371086423316,0.008758758758758759,37.986792,117,1562,5855,19946,138,1565,5874,20150
betam,SUS+Deadline-PF,10006,2245.55545388573,43.677391540178945,0.5934039480019259,0.40370727010110735,0.00024073182474723158,3.932889067638711,0.7136848873969793,0.9873086484364778,1.0121507876723546,0.01237279922468099,39.596238,4,217,2377,27586,4,220,2406,27942
betam,SUS+Deadline-PF,10007,4915.319585249914,67.40919628703097,0.6620981387478849,0.33587140439932317,0.0,3.960173590323556,0.8122945417550559,0.9833457057095827,1.0152573054047065,0.015224715529845528,61.527362,1,112,1226,29128,2,113,1238,29630
betam,SUS+PF,10000,712.6272031807429,67.5948490827835,0.48846250313518935,0.5079006772009029,0.0,3.9666532441217206,0.5839376991811928,0.9818562007399068,1.017360216439062,0.01738580685949107,62.0285,0,14,1016,29491,0,14,1037,30034
betam,SUS+PF,10001,4301.888693970524,81.68949911441555,0.593325572370974,0.4030526451946708,0.0,3.997674973364889,0.7547506778352583,0.9911677496687906,1.0083036024374072,0.008382858930247107,72.462896,0,0,89,31333,0,0,90,31612
betam,SUS+PF,10002,4594.400484469025,70.01425640634015,0.6371724361048204,0.3592688450339696,0.0,3.9960328008238464,0.8218284670593512,0.986676395013165,1.013484785988514,0.013302867159133593,61.81497,0,6,134,30963,0,6,136,31381
betam,SUS+PF,10003,509.7150547832557,74.83678600673554,0.46873536299765806,0.5263466042154566,0.0,3.9994805187165787,0.6898417539645818,0.989807831876558,1.0095689246802464,0.00947052572357317,62.986582,0,2,12,31354,0,2,12,31677
betam,SUS+PF,10004,3455.8722425625742,101.77916159429273,0.5348342835056528,0.4612039810609721,0.0,3.999924572562142,0.7821221440256071,0.9815798682912862,1.0179589237382582,0.01768805275164849,86.365972,0,0,3,30851,0,0,3,31430
