seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10011,SUS+DPF,8911.7223,76.7496,11.585,0.8619,0.0863,0.0488,3.9845,0.7641
10011,SUS+PF,8769.2953,76.0065,11.4673,0.861,0.087,0.0503,3.9774,0.7691
10011,SUS+Rnd,7878.6319,69.8327,11.338,0.8406,0.1067,0.0511,3.9828,0.7623
10011,SU+CQI,9510.325,84.8476,23.6786,0.8551,0.1441,0.0,1.0,0.6601
10011,SU+DPF,8197.0904,71.6456,23.3321,0.864,0.1342,0.0,1.0,0.7272
10011,SU+PF,7795.5685,73.9032,23.3579,0.8204,0.1781,0.0,1.0,0.7211
10011,SU+Rnd,5302.921,56.4315,21.6567,0.7565,0.2414,0.0,1.0,0.7827
10012,PPO,6475.3708,59.8372,17.8698,0.8306,0.1678,0.0,1.2912,0.6039
10012,SUS+CQI,4990.5834,49.6501,7.7647,0.7851,0.1762,0.0371,3.9922,0.6124
10012,SUS+DPF,4812.4126,48.3522,7.6732,0.7798,0.1823,0.0364,3.9932,0.6062
10012,SUS+PF,4933.5967,49.3284,7.761,0.7833,0.1746,0.0403,3.9909,0.6091
10012,SUS+Rnd,4306.7587,44.4522,7.4145,0.7629,0.1978,0.0377,3.9945,0.6062
10012,SU+CQI,6995.0689,64.4495,19.4134,0.8361,0.1625,0.0,1.0,0.6073
10012,SU+DPF,5789.549,55.4595,19.0989,0.811,0.1873,0.0,1.0,0.5982
10012,SU+PF,5891.0679,57.3908,19.2287,0.8043,0.1948,0.0,1.0,0.5981
10012,SU+Rnd,3598.1239,40.5623,17.6295,0.7318,0.2661,0.0,1.0,0.6157
10013,PPO,12675.7123,106.527,15.4737,0.8906,0.1083,0.0,2.8755,0.7393
10013,SUS+CQI,11654.5162,98.9254,11.8498,0.8782,0.1054,0.0146,3.9991,0.7561
10013,SUS+DPF,10414.6655,91.5671,11.927,0.8464,0.1312,0.0203,3.9997,0.729
10013,SUS+PF,10366.1472,93.2268,11.9724,0.8385,0.1377,0.0221,3.9981,0.7356
10013,SUS+Rnd,8081.1479,77.2654,11.019,0.7932,0.1826,0.0226,3.9999,0.7549
10013,SU+CQI,9481.8039,93.0946,23.6765,0.797,0.2016,0.0,1.0,0.5645
10013,SU+DPF,7580.6434,71.8214,22.4671,0.8036,0.1937,0.0,1.0,0.7126
10013,SU+PF,6540.5186,75.3443,22.8756,0.7255,0.2716,0.0,1.0,0.6912
10013,SU+Rnd,4237.7945,59.2234,20.9949,0.6544,0.3427,0.0,1.0,0.7706
10014,PPO,11250.3873,96.486,17.5147,0.8743,0.1236,0.0,2.3378,0.6987
10014,SUS+CQI,9957.249,88.8955,12.2241,0.8417,0.1188,0.0378,3.9992,0.6992
