seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10012,SUS+Rnd,4342.4991,44.7457,7.5244,0.7663,0.2044,0.0271,3.9734,0.6063
10013,PPO,12675.7123,106.527,15.4737,0.8906,0.1083,0.0,2.8755,0.7393
10013,SU+CQI,9481.8039,93.0946,23.6765,0.797,0.2016,0.0,1.0,0.5645
10013,SU+DPF,7580.6434,71.8214,22.4671,0.8036,0.1937,0.0,1.0,0.7126
10013,SU+PF,6540.5186,75.3443,22.8756,0.7255,0.2716,0.0,1.0,0.6912
10013,SU+Rnd,4237.7945,59.2234,20.9949,0.6544,0.3427,0.0,1.0,0.7706
10013,SUS+CQI,11811.1399,100.284,11.9267,0.88,0.1143,0.0043,3.9938,0.7583
10013,SUS+DPF,10775.4606,93.9452,12.0282,0.8565,0.1353,0.0062,3.9972,0.7408
10013,SUS+PF,10902.9297,95.7651,12.0308,0.8552,0.1365,0.0068,3.9958,0.7483
10013,SUS+Rnd,8559.9227,80.7629,11.3281,0.8042,0.1865,0.0074,3.9989,0.7475
10014,PPO,11250.3873,96.486,17.5147,0.8743,0.1236,0.0,2.3378,0.6987
10014,SU+CQI,9743.6248,91.9583,24.0963,0.819,0.1796,0.0,1.0,0.5963
10014,SU+DPF,7623.1015,72.3885,23.6037,0.8077,0.1898,0.0,1.0,0.6615
10014,SU+PF,7060.2789,75.9885,23.8406,0.7546,0.2432,0.0,1.0,0.6513
10014,SU+Rnd,4079.7911,54.8987,21.3053,0.6666,0.3304,0.0,1.0,0.7137
10014,SUS+CQI,9773.9606,87.9269,12.1827,0.8416,0.1305,0.0263,3.9964,0.7077
10014,SUS+DPF,9353.727,85.1483,12.4807,0.8311,0.1357,0.0317,3.9967,0.6762
10014,SUS+PF,9084.4815,84.4282,12.3196,0.8191,0.1449,0.0344,3.9971,0.684
10014,SUS+Rnd,7171.8823,71.3121,11.5537,0.7747,0.1832,0.0401,3.9989,0.6854
10015,PPO,11840.654,100.4073,15.4684,0.8848,0.1136,0.0,2.6053,0.7357
10015,SU+CQI,8864.689,88.3968,23.3604,0.7892,0.2089,0.0,1.0,0.5651
10015,SU+DPF,7428.9589,68.8185,22.4706,0.8153,0.1819,0.0,1.0,0.6973
10015,SU+PF,6324.2386,72.0841,22.7032,0.7303,0.2687,0.0,1.0,0.6871
10015,SU+Rnd,3788.1056,54.946,20.4871,0.644,0.3523,0.0,1.0,0.7463
10015,SUS+CQI,11016.9225,95.1104,11.5494,0.8694,0.1064,0.023,3.9819,0.7397
10015,SUS+DPF,9540.877,85.9024,11.5043,0.8362,0.1229,0.0386,3.9946,0.7108
10015,SUS+PF,9373.0002,86.0264,11.4477,0.8275,0.1311,0.0392,3.9929,0.717
10015,SUS+Rnd,8115.5258,77.1696,10.9202,0.7994,0.1602,0.0375,3.998,0.7216
10016,PPO,12333.9596,99.8444,21.6638,0.9218,0.0765,0.0006,2.8263,0.7909
10016,SU+CQI,9976.355,91.4363,30.0303,0.8378,0.1607,0.0,1.0,0.6346
10016,SU+DPF,9195.1601,79.5786,30.2399,0.8685,0.1289,0.0,1.0,0.7251
10016,SU+PF,8476.7304,81.9563,30.3183,0.8113,0.187,0.0,1.0,0.7205
10016,SU+Rnd,5395.8802,61.0075,27.9566,0.7294,0.2682,0.0,1.0,0.8092
10016,SUS+CQI,11539.0868,95.4386,18.1727,0.9003,0.0793,0.0185,3.9494,0.7985
10016,SUS+DPF,11465.4023,95.1223,18.1676,0.8958,0.0752,0.0277,3.9575,0.787
10016,SUS+PF,11035.8329,92.795,17.8451,0.8861,0.0808,0.0314,3.9561,0.7974
10016,SUS+Rnd,9790.7369,84.2855,17.7758,0.8645,0.1034,0.0302,3.9719,0.785
10017,PPO,9026.5693,70.7783,21.2237,0.9464,0.0519,0.0,2.417,0.8513
10017,SU+CQI,8335.7214,71.0195,28.4358,0.888,0.111,0.0,1.0,0.7411
10017,SU+DPF,8164.6899,66.9833,28.2631,0.9143,0.0848,0.0,1.0,0.7836
10017,SU+PF,7797.2854,67.7298,28.2558,0.8781,0.1208,0.0,1.0,0.7856
10017,SU+Rnd,5854.6342,53.4605,27.0352,0.8434,0.1547,0.0,1.0,0.8408
10017,SUS+CQI,8398.7532,66.5445,17.2115,0.9372,0.0509,0.0103,3.608,0.8535
10017,SUS+DPF,8535.6038,68.0798,17.4024,0.9346,0.0537,0.0097,3.5819,0.8446
10017,SUS+PF,8416.9253,66.5759,17.3141,0.9394,0.0459,0.0133,3.5841,0.8529
10017,SUS+Rnd,8160.5375,65.8001,17.1089,0.922,0.061,0.0159,3.6711,0.8367
10018,PPO,9975.7481,88.6063,17.9822,0.8495,0.1488,0.0,2.8682,0.682
10018,SU+CQI,7986.6499,83.0676,27.2179,0.7684,0.2298,0.0,1.0,0.5298
10018,SU+DPF,6156.3225,63.7402,26.8555,0.7582,0.2389,0.0,1.0,0.6538
10018,SU+PF,5173.9278,66.0548,26.8342,0.6887,0.3089,0.0,1.0,0.6481
10018,SU+Rnd,2616.8177,49.3305,24.2783,0.5841,0.412,0.0,1.0,0.722
10018,SUS+CQI,9327.7072,84.7537,14.5621,0.831,0.1542,0.013,3.9967,0.6992
10018,SUS+DPF,7956.891,76.5801,14.4919,0.7915,0.1736,0.0323,3.9989,0.683
10018,SUS+PF,7830.8994,77.893,14.6197,0.7801,0.1823,0.0358,3.9989,0.6852
10018,SUS+Rnd,5573.9706,63.1009,14.043,0.7101,0.25,0.0366,3.9993,0.6878
10019,PPO,13091.8776,111.3351,22.9923,0.8831,0.115,0.0001,2.8425,0.7173
10019,SU+CQI,9088.7372,93.4793,32.2857,0.7749,0.2233,0.0,1.0,0.5448
10019,SU+DPF,7702.7565,74.7991,32.0787,0.789,0.2081,0.0,1.0,0.6525
10019,SU+PF,6523.94,78.18,32.2168,0.7107,0.2869,0.0,1.0,0.6353
10019,SU+Rnd,3427.8098,57.435,29.108,0.608,0.3879,0.0,1.0,0.7607
10019,SUS+CQI,12125.3507,105.1451,19.1862,0.8649,0.1161,0.0176,3.9972,0.7306
10019,SUS+DPF,10747.004,96.0461,19.5279,0.8351,0.1433,0.0195,3.9988,0.6993
10019,SUS+PF,10642.0847,97.4839,19.5773,0.8243,0.1498,0.0235,3.9992,0.7049
10019,SUS+Rnd,7863.8866,79.0445,18.6908,0.7634,0.2045,0.0293,3.9995,0.7154
